"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"82","9","11","33","1","10","4","2","8","19","29","25","3","23","","","","","","","","","","","","","","","","","",""
"83","9","11","33","1","10","4","2","8","19","29","25","3","23","","","","","","","","","","","","","","","","","",""
"84","9","11","33","1","10","4","2","8","19","29","25","3","","","","","","","","","","","","","","","","","","",""
"85","9","11","33","1","10","4","2","8","19","29","25","","","","","","","","","","","","","","","","","","","",""
"86","9","11","33","1","10","4","2","8","19","29","","","","","","","","","","","","","","","","","","","","",""
"87","9","11","33","1","10","4","2","8","19","","","","","","","","","","","","","","","","","","","","","",""
"88","9","11","33","1","10","4","2","","","","","","","","","","","","","","","","","","","","","","","",""
"89","9","11","33","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","9","11","33","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
