"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"12","5","Rodger Ward","USA","Leader Cards Inc","Watson","Offenhauser","6","Jimmy Bryan","USA","George Salih","Salih","Offenhauser","indianapolis-500",1959
"13","7","Jud Larson","USA","Bignotti-Bowes Racing","Kurtis Kraft","Offenhauser","8","Len Sutton","USA","Wolcott Memorial Racing Team","Lesovsky","Offenhauser S","indianapolis-500",1959
"14","9","Don Branson","USA","Bob Estes","Phillips","Offenhauser","10","A.J. Foyt","USA","A E Dean","Kuzma","Offenhauser","indianapolis-500",1959
"15","15","Don Freeland","USA","Jim Robbins","Kurtis Kraft 500G","Offenhauser","16","Jim Rathmann","USA","Lindsey Hopkins","Watson","Offenhauser","indianapolis-500",1959
"16","19","Eddie Johnson","USA","J S Donaldson","Kurtis Kraft 500G","Offenhauser","24","Jack Turner","USA","Ernest L Ruiz","Christensen","Offenhauser","indianapolis-500",1959
"17","33","Johnny Boyd","USA","Bignotti-Bowes Racing","Epperly","Offenhauser","37","Duane Carter","USA","Yunick, Glover & Lathrop","Kurtis Kraft","Offenhauser","indianapolis-500",1959
"18","44","Eddie Sachs","USA","Peter Schmidt","Kuzma","Offenhauser","45","Paul Russo","USA","Fred Gerhardt","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1959
"19","47","Chuck Weyant","USA","Roy McKay","Kurtis Kraft 500G","Offenhauser","48","Bobby Grim","USA","Chapman S Root","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1959
"20","49","Ray Crawford","USA","Ray Crawford","Elder","Offenhauser","53","Bill Cheesbourg","USA","Lysle Greenman","Kuzma","Offenhauser","indianapolis-500",1959
"21","57","Al Keller","USA","H H Johnson","Kuzma","Offenhauser","58","Jim McWithey","USA","Ray T Brady","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1959
"22","64","Pat Flaherty","USA","John Zink","Watson","Offenhauser","65","Bob Christie","USA","Federal Auto Associates","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1959
"23","66","Jimmy Daywalt","USA","Federal Auto Associates","Kurtis Kraft","Offenhauser","71","Chuck Arnold","USA","Karl Hall","Kurtis Kraft","Offenhauser","indianapolis-500",1959
"24","73","Dick Rathmann","USA","Kalamazoo Sports Inc","Kurtis Kraft 500C","Offenhauser","74","Bob Veith","USA","John Zink","Moore","Offenhauser","indianapolis-500",1959
"25","77","Mike Magill","USA","George Walther Jr","Kurtis Kraft 500G","Offenhauser","87","Red Amick","USA","LeRoy E Foutch Jr","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1959
"26","88","Gene Hartley","USA","R T Marley Sr","Kuzma","Offenhauser","89","Al Herman","USA","Harry Dunn","Dunn","Offenhauser","indianapolis-500",1959
"27","99","Paul Goldsmith","USA","Norman C Demler","Epperly","Offenhauser","1","Tony Bettenhausen","USA","John R Wills","Epperly","Offenhauser","indianapolis-500",1959
"28","2","Stirling Moss","Great Britain","British Racing Partnership","BRM P25","BRM 2.5 L4","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","british-grand-prix",1959
"29","8","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","9","Carroll Shelby","USA","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","british-grand-prix",1959
"30","10","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","10","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","british-grand-prix",1959
"31","12","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","14","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax 2.0 L4","british-grand-prix",1959
"32","16","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","20","Tony Brooks","Great Britain","Vandervell Products","","","british-grand-prix",1959
"33","22","Jack Fairman","Great Britain","High Efficiency Motors","Cooper T43","Climax FPF2.5","24","Hans Herrmann","Germany","Scuderia Centro Sud","Cooper T51","Maserati 250S","british-grand-prix",1959
"34","28","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","30","Alan Stacey","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","british-grand-prix",1959
"35","34","Ivor Bueb","Great Britain","British Racing Partnership","Cooper T51","BRM 2.5 L4","36","Brian Naylor","Great Britain","J B Naylor","JBW","Maserati 250S","british-grand-prix",1959
"36","38","Fritz d'Orey","Brazil","Scuderia Centro Sud","Maserati 250F","Maserati 250F","42","Ron Flockhart","Great Britain","Owen Racing Organisation","BRM P25","BRM 2.5 L4","british-grand-prix",1959
"37","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","44","Trevor Taylor","Great Britain","Ace Garage - Rotherham","Cooper T51","Climax FPF1.5","british-grand-prix",1959
"38","48","Chris Bristow","Great Britain","British Racing Partnership","Cooper T51","BRM 2.5 L4","50","Mike Taylor","Great Britain","Alan Brown Equipe","Cooper T45","Climax FPF1.5","british-grand-prix",1959
"39","52","Peter Ashdown","Great Britain","Alan Brown Equipe","Cooper T45","Climax FPF1.5","54","Keith Greene","Great Britain","Gilby Engineering","Gilby","Climax 4","british-grand-prix",1959
"40","56","Bill Moss","Great Britain","United Racing Stable","Cooper T51","Climax FPF1.5","58","Henry Taylor","Great Britain","R H H Parnell","Cooper T51","Climax 1.5 L4","british-grand-prix",1959
"41","60","Mike Parkes","Great Britain","David Fry","Fry","Climax FPF1.5","62","Dennis Taylor","Great Britain","Dennis Taylor","Lotus 12","Climax FPF1.5","british-grand-prix",1959
"42","64","David Piper","Great Britain","Dorchester Service Station","Lotus 16","Climax FPF1.5","66","Tim Parnell","Great Britain","R H H Parnell","Cooper T45","Climax 1.5 L4","british-grand-prix",1959
"43","4","Maria Teresa de Filippis","Italy","Dr Ing F Porsche KG","Porsche RSK","Porsche F4","6","Wolfgang von Trips","Germany","Dr Ing F Porsche KG","Porsche RSK","Porsche F4","monaco-grand-prix",1959
"44","10","Lucien Bianchi","Belgium","Equipe Nationale Belge","Cooper T51","Climax FPF1.5","12","Alain de Changy","Belgium","Equipe Nationale Belge","Cooper T51","Climax FPF1.5","monaco-grand-prix",1959
"45","14","Jean Lucienbonnet","France","Jean Lucienbonnet","Cooper T45","Climax FPF1.5","16","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM P259","monaco-grand-prix",1959
"46","18","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM P258","20","Ron Flockhart","Great Britain","Owen Racing Organisation","BRM P25","BRM P259","monaco-grand-prix",1959
"47","22","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax FPF2.2","24","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax FPF2.5","monaco-grand-prix",1959
"48","26","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax FPF2.5","30","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax FPF2.5","monaco-grand-prix",1959
"49","32","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax FPF2.5","34","Ivor Bueb","Great Britain","British Racing Partnership","Cooper T51","Climax FPF1.5","monaco-grand-prix",1959
"50","38","Roy Salvadori","Great Britain","High Efficiency Motors","Cooper T45","Maserati 250S","40","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax FPF2.5","monaco-grand-prix",1959
"51","42","Pete Lovely","USA","Team Lotus","Lotus 16","Climax FPF2.5","44","Bruce Halford","Great Britain","John Fisher","Lotus 16","Climax FPF1.5","monaco-grand-prix",1959
"52","46","Jean Behra","France","Scuderia Ferrari","Ferrari 246","Ferrari 246","48","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 246","monaco-grand-prix",1959
"53","50","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 246","52","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 156","Ferrari 156","monaco-grand-prix",1959
"54","54","Giorgio Scarlatti","Italy","Scuderia Ugolini","Maserati 250F","Maserati 250F","56","Andre Testut","Monaco","Monte Carlo Auto Sport","Maserati 250F","Maserati 250F","monaco-grand-prix",1959
"55","2","Stirling Moss","Great Britain","British Racing Partnership","BRM P25","BRM 2.5 L4","4","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","french-grand-prix",1959
"56","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","6","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","french-grand-prix",1959
"57","8","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","10","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax 2.0 L4","french-grand-prix",1959
"58","12","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","22","Olivier Gendebien","Belgium","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","french-grand-prix",1959
"59","24","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","26","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","french-grand-prix",1959
"60","28","Dan Gurney","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","30","Jean Behra","France","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","french-grand-prix",1959
"61","32","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.0 L4","34","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","french-grand-prix",1959
"62","36","Azdrubal Fontes","Uruguay","Scuderia Centro Sud","Maserati 250F","Maserati 250F","36","Azdrubal Fontes","Uruguay","Scuderia Centro Sud","Maserati 250F","Maserati 250F","french-grand-prix",1959
"63","38","Roy Salvadori","Great Britain","High Efficiency Motors","Cooper T45","Maserati 250S","38","Fritz d'Orey","Brazil","Scuderia Centro Sud","Maserati 250F","Maserati 250F","french-grand-prix",1959
"64","40","Colin Davis","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","42","Carel Godin de Beaufort","Netherlands","Scuderia Ugolini","Maserati 250F","Maserati 250F","french-grand-prix",1959
"65","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","44","Ron Flockhart","Great Britain","Owen Racing Organisation","BRM P25","BRM 2.5 L4","french-grand-prix",1959
"66","54","Giorgio Scarlatti","Italy","Scuderia Ugolini","Maserati 250F","Maserati 250F","2","Stirling Moss","Great Britain","British Racing Partnership","BRM P25","BRM 2.5 L4","french-grand-prix",1959
"67","1","Jean Behra","France","Scuderia Ferrari","Ferrari 156","Ferrari 2.4 V6","2","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","dutch-grand-prix",1959
"68","3","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","4","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","dutch-grand-prix",1959
"69","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","6","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","dutch-grand-prix",1959
"70","7","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","8","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","dutch-grand-prix",1959
"71","9","Carroll Shelby","USA","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","9","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax 2.0 L4","dutch-grand-prix",1959
"72","10","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","12","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","dutch-grand-prix",1959
"73","14","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","15","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","Porsche RSK","Porsche 1.5 F4","dutch-grand-prix",1959
"74","16","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","1","Jean Behra","France","Scuderia Ferrari","Ferrari 156","Ferrari 2.4 V6","dutch-grand-prix",1959
"75","1","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","2","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax 2.0 L4","portuguese-grand-prix",1959
"76","3","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","4","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","portuguese-grand-prix",1959
"77","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","6","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","portuguese-grand-prix",1959
"78","7","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","8","Ron Flockhart","Great Britain","Owen Racing Organisation","BRM P25","BRM 2.5 L4","portuguese-grand-prix",1959
"79","9","Carroll Shelby","USA","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","10","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","portuguese-grand-prix",1959
"80","11","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","12","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","portuguese-grand-prix",1959
"81","14","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","15","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","portuguese-grand-prix",1959
"82","16","Dan Gurney","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","18","Nicha Cabral","Portugal","Scuderia Centro Sud","Cooper T51","Maserati 250S","portuguese-grand-prix",1959
"83","1","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","2","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","german-grand-prix",1959
"84","3","Masten Gregory","USA","Cooper Car Co","Cooper T51","Climax 2.0 L4","4","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","german-grand-prix",1959
"85","4","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","german-grand-prix",1959
"86","5","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","6","Wolfgang von Trips","Germany","Dr Ing F Porsche KG","Porsche 718","Porsche 1.5 F4","german-grand-prix",1959
"87","6","Dan Gurney","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","9","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","german-grand-prix",1959
"88","10","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","11","Hans Herrmann","Germany","British Racing Partnership","BRM P25","BRM 2.5 L4","german-grand-prix",1959
"89","15","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","16","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.0 L4","german-grand-prix",1959
"90","17","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","german-grand-prix",1959
"91","2","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","4","Ron Flockhart","Great Britain","Owen Racing Organisation","BRM P25","BRM 2.5 L4","italian-grand-prix",1959
"92","4","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","italian-grand-prix",1959
"93","6","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P25","BRM 2.5 L4","8","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","italian-grand-prix",1959
"94","9","Carroll Shelby","USA","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","10","Giorgio Scarlatti","Italy","Cooper Car Co","Cooper T51","Climax 2.0 L4","italian-grand-prix",1959
"95","10","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","12","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","italian-grand-prix",1959
"96","18","Graham Hill","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","20","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","italian-grand-prix",1959
"97","22","Jack Fairman","Great Britain","High Efficiency Motors","Cooper T43","Climax FPF2.5","28","Giulio Cabianca","Italy","Ottorino Volonterio","Maserati 250F","Maserati 250F","italian-grand-prix",1959
"98","30","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","32","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","italian-grand-prix",1959
"99","34","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","36","Dan Gurney","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","italian-grand-prix",1959
"100","38","Olivier Gendebien","Belgium","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","40","Colin Davis","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","italian-grand-prix",1959
"101","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","2","Harry Schell","USA","Owen Racing Organisation","BRM P25","BRM 2.5 L4","italian-grand-prix",1959
