"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"32","38","Don Freeland","USA","Bob Estes","Watson","Offenhauser","41","Gene Hartley","USA","Federal Auto Associates","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"33","48","Jimmy Daywalt","USA","Chapman S Root","Kurtis Kraft 3000","Offenhauser","49","Bill Holland","USA","Ray Crawford","Kurtis Kraft 500B","Offenhauser","indianapolis-500",1953
"34","49","Jim Rathmann","USA","Ray Crawford","Kurtis Kraft 500B","Offenhauser","51","Bob Sweikert","USA","A E Dean","Kuzma","Offenhauser","indianapolis-500",1953
"35","53","Jimmy Davies","USA","Pat Clancy","Kurtis Kraft 500A","Offenhauser","55","Jerry Hoyt","USA","John Zink","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"36","55","Chuck Stevenson","USA","John Zink","Kurtis Kraft 4000","Offenhauser","55","Andy Linden","USA","John Zink","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"37","56","Johnny Thomson","USA","R N Sabourin","Del Roy","Offenhauser","59","Fred Agabashian","USA","Grancor Auto Specialists","Kurtis Kraft 500B","Offenhauser","indianapolis-500",1953
"38","59","Paul Russo","USA","Grancor Auto Specialists","Kurtis Kraft 500B","Offenhauser","62","Spider Webb","USA","3-L Racing Team","Kurtis Kraft 3000","Offenhauser","indianapolis-500",1953
"39","62","Johnny Thomson","USA","3-L Racing Team","Kurtis Kraft 3000","Offenhauser","62","Jackie John Holmes","USA","3-L Racing Team","Kurtis Kraft 3000","Offenhauser","indianapolis-500",1953
"40","73","Carl Scarborough","USA","Lee Elkins","Kurtis Kraft 2000","Offenhauser","73","Bob Scott","USA","Lee Elkins","Kurtis Kraft 2000","Offenhauser","indianapolis-500",1953
"41","77","Pat Flaherty","USA","Peter Schmidt","Kurtis Kraft 3000","Offenhauser","83","Mike Nazaruk","USA","Lee Elkins","Turner","Offenhauser","indianapolis-500",1953
"42","88","Manny Ayulo","USA","Peter Schmidt","Kuzma","Offenhauser","92","Rodger Ward","USA","M A Walker","Kurtis Kraft","Offenhauser","indianapolis-500",1953
"43","92","Andy Linden","USA","M A Walker","Kurtis Kraft","Offenhauser","92","Duke Dinsmore","USA","M A Walker","Kurtis Kraft","Offenhauser","indianapolis-500",1953
"44","97","Chuck Stevenson","USA","J C Agajanian","Kuzma","Offenhauser","98","Tony Bettenhausen","USA","J C Agajanian","Kuzma","Offenhauser","indianapolis-500",1953
"45","98","Chuck Stevenson","USA","J C Agajanian","Kuzma","Offenhauser","98","Gene Hartley","USA","J C Agajanian","Kuzma","Offenhauser","indianapolis-500",1953
"46","99","Cal Niday","USA","Murrell Belanger","Kurtis Kraft","Offenhauser","2","Jim Rathmann","USA","Ernest L Ruiz","Kurtis Kraft 500B","Offenhauser","indianapolis-500",1953
"47","1","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","1","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","german-grand-prix",1953
"48","2","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","3","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","german-grand-prix",1953
"49","4","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","4","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","german-grand-prix",1953
"50","5","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","6","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","german-grand-prix",1953
"51","7","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","8","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","german-grand-prix",1953
"52","9","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","10","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","german-grand-prix",1953
"53","11","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","12","Johnny Claes","Belgium","Ecurie Belge","Connaught A","Francis","german-grand-prix",1953
"54","14","Prince Bira","Thailand","Connaught Engineering","Connaught A","Francis","15","Roy Salvadori","Great Britain","Connaught Engineering","Connaught A","Francis","german-grand-prix",1953
"55","16","Kenneth McAlpine","Great Britain","Connaught Engineering","Connaught A","Francis","17","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","german-grand-prix",1953
"56","18","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 500","19","Stirling Moss","Great Britain","Cooper Car Co","Cooper T23","Alta","german-grand-prix",1953
"57","20","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","21","Hans Von Stuck","Germany","Hans Stuck","AFM","Bristol BS","german-grand-prix",1953
"58","22","Wolfgang Seidel","Germany","Wolfgang Seidel","Veritas RS","Veritas","23","Willi Heeks","Germany","Willi Heeks","Veritas Meteor","Veritas","german-grand-prix",1953
"59","24","Theo Helfrich","Germany","Theo Helfrich","Veritas RS","Veritas","26","Oswald Karch","Germany","Oswald Karch","Veritas RS","Veritas","german-grand-prix",1953
"60","28","Theo Fitzau","Germany","Helmut Niedermayr","AFM","BMW 328","30","Ernst Loof","Germany","Ernst Loof","Veritas Meteor","Veritas","german-grand-prix",1953
"61","31","Hans Herrmann","Germany","Hans Herrmann","Veritas Meteor","Veritas","32","Erwin Bauer","Germany","Erwin Bauer","Veritas RS","Veritas","german-grand-prix",1953
"62","34","Kurt Adolff","Germany","Ecurie Espadon","Ferrari 166C","Ferrari 166","35","Edgar Barth","Germany","Rennkollektiv EMW","EMW","BMW 328","german-grand-prix",1953
"63","36","Rudolf Krause","Germany","Dora Greifzu","BMW","BMW 328","37","Ernst Klodwig","Germany","Ernst Klodwig","BMW","BMW 328","german-grand-prix",1953
"64","38","Alan Brown","Great Britain","Equipe Anglaise","Cooper T23","Bristol BS","39","Helm Glockler","Germany","Equipe Anglaise","Cooper T23","Bristol BS","german-grand-prix",1953
"65","40","Rodney Nuckey","Great Britain","Rodney Nuckey","Cooper T23","Bristol BS","41","Günther Bechem","Germany","Guenther Bechem","AFM","BMW 328","german-grand-prix",1953
"66","2","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","4","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","belgian-grand-prix",1953
"67","6","Johnny Claes","Belgium","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","6","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","belgian-grand-prix",1953
"68","8","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","10","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","belgian-grand-prix",1953
"69","12","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","14","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","belgian-grand-prix",1953
"70","16","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","18","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","belgian-grand-prix",1953
"71","20","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","22","Lance Macklin","Great Britain","HW Motors","HWM","Alta","belgian-grand-prix",1953
"72","24","Paul Frere","Belgium","HW Motors","HWM","Alta","26","Peter Collins","Great Britain","HW Motors","HWM","Alta","belgian-grand-prix",1953
"73","28","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","30","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","belgian-grand-prix",1953
"74","32","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","34","Georges Berger","Belgium","Georges Berger","Simca-Gordini T15","Gordini 18","belgian-grand-prix",1953
"75","36","Arthur Legat","Belgium","Arthur Legat","Veritas Meteor","Veritas","38","Fred Wacker","USA","Equipe Gordini","Gordini T16","Gordini 20","belgian-grand-prix",1953
"76","40","Andre Pilette","Belgium","Ecurie Belge","Connaught A","Francis","42","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 500","belgian-grand-prix",1953
"77","44","Charles de Tornaco","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 500","2","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","belgian-grand-prix",1953
"78","1","Lance Macklin","Great Britain","HW Motors","HWM","Alta","2","Peter Collins","Great Britain","HW Motors","HWM","Alta","british-grand-prix",1953
"79","3","Duncan Hamilton","Great Britain","HW Motors","HWM","Alta","4","Jack Fairman","Great Britain","HW Motors","HWM","Alta","british-grand-prix",1953
"80","5","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","6","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","british-grand-prix",1953
"81","7","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","8","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","british-grand-prix",1953
"82","9","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","10","Prince Bira","Thailand","Connaught Engineering","Connaught A","Francis","british-grand-prix",1953
"83","11","Kenneth McAlpine","Great Britain","Connaught Engineering","Connaught A","Francis","12","Roy Salvadori","Great Britain","Connaught Engineering","Connaught A","Francis","british-grand-prix",1953
"84","14","Tony Rolt","Great Britain","R R C Walker Racing Team","Connaught A","Francis","15","Ian Stewart","Great Britain","Ecurie Ecosse","Connaught A","Francis","british-grand-prix",1953
"85","16","Ken Wharton","Great Britain","Ken Wharton","Cooper T23","Bristol BS","17","Bob Gerard","Great Britain","Bob Gerard","Cooper T23","Bristol BS","british-grand-prix",1953
"86","18","Jimmy Stewart","Great Britain","Ecurie Ecosse","Cooper T20","Bristol BS","19","Alan Brown","Great Britain","R J Chase","Cooper T23","Bristol BS","british-grand-prix",1953
"87","20","Peter Whitehead","Great Britain","Atlantic Stable","Cooper T24","Alta","22","Tony Crook","Great Britain","Tony Crook","Cooper T20","Bristol BS","british-grand-prix",1953
"88","23","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","24","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","british-grand-prix",1953
"89","25","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","26","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","british-grand-prix",1953
"90","27","Louis Chiron","Monaco","Louis Chiron","OSCA 20","Osca","28","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","british-grand-prix",1953
"91","29","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","30","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","british-grand-prix",1953
"92","31","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","1","Lance Macklin","Great Britain","HW Motors","HWM","Alta","british-grand-prix",1953
"93","2","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","4","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","italian-grand-prix",1953
"94","6","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","8","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","italian-grand-prix",1953
"95","10","Umberto Maglioli","Italy","Scuderia Ferrari","Ferrari 553","Ferrari 553-2","12","Piero Carini","Italy","Scuderia Ferrari","Ferrari 553","Ferrari 553-2","italian-grand-prix",1953
"96","14","Lance Macklin","Great Britain","HW Motors","HWM","Alta","16","Yves Giraud-Cabantous","France","HW Motors","HWM","Alta","italian-grand-prix",1953
"97","18","John Fitch","USA","HW Motors","HWM","Alta","20","Jack Fairman","Great Britain","Connaught Engineering","Connaught A","Francis","italian-grand-prix",1953
"98","22","Roy Salvadori","Great Britain","Connaught Engineering","Connaught A","Francis","24","Kenneth McAlpine","Great Britain","Connaught Engineering","Connaught A","Francis","italian-grand-prix",1953
"99","26","Johnny Claes","Belgium","Ecurie Belge","Connaught A","Francis","28","Stirling Moss","Great Britain","Cooper Car Co","Cooper T24","Alta","italian-grand-prix",1953
"100","30","Ken Wharton","Great Britain","Ken Wharton","Cooper T23","Bristol BS","32","Louis Chiron","Monaco","Louis Chiron","OSCA 20","Osca","italian-grand-prix",1953
"101","34","Elie Bayol","France","OSCA Automobili","OSCA 20","Osca","36","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","italian-grand-prix",1953
"102","38","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","40","Roberto Mieres","Argentina","Equipe Gordini","Gordini T16","Gordini 20","italian-grand-prix",1953
"103","42","Chico Landi","Brazil","Scuderia Milano","Maserati A6GCM","Maserati A6GCM","44","Prince Bira","Thailand","Scuderia Milano","Maserati A6GCM-53","Maserati A6GCM-53","italian-grand-prix",1953
"104","46","Alan Brown","Great Britain","Equipe Anglaise","Cooper T23","Bristol BS","48","Hans Von Stuck","Germany","Hans Stuck","AFM","Bristol BS","italian-grand-prix",1953
"105","50","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","52","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","italian-grand-prix",1953
"106","54","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","56","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","italian-grand-prix",1953
"107","56","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","58","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","italian-grand-prix",1953
"108","64","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","2","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","italian-grand-prix",1953
"109","2","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","4","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","dutch-grand-prix",1953
"110","6","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","8","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","dutch-grand-prix",1953
"111","10","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","12","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","dutch-grand-prix",1953
"112","14","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","16","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","dutch-grand-prix",1953
"113","16","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","18","Emmanuel de Graffenried","Switzerland","Enrico Plate","Maserati A6GCM-53","Maserati A6GCM-53","dutch-grand-prix",1953
"114","20","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","22","Roberto Mieres","Argentina","Equipe Gordini","Gordini T16","Gordini 20","dutch-grand-prix",1953
"115","24","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","26","Roy Salvadori","Great Britain","Connaught Engineering","Connaught A","Francis","dutch-grand-prix",1953
"116","28","Kenneth McAlpine","Great Britain","Connaught Engineering","Connaught A","Francis","30","Johnny Claes","Belgium","Ecurie Belge","Connaught A","Francis","dutch-grand-prix",1953
"117","32","Ken Wharton","Great Britain","Ken Wharton","Cooper T23","Bristol BS","34","Stirling Moss","Great Britain","Connaught Engineering","Connaught A","Francis","dutch-grand-prix",1953
"118","36","Peter Collins","Great Britain","HW Motors","HWM","Alta","38","Lance Macklin","Great Britain","HW Motors","HWM","Alta","dutch-grand-prix",1953
"119","40","Fred Wacker","USA","Equipe Gordini","Gordini T16","Gordini 20","2","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","dutch-grand-prix",1953
"120","2","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","4","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","french-grand-prix",1953
"121","6","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","8","Roberto Mieres","Argentina","Equipe Gordini","Gordini T16","Gordini 20","french-grand-prix",1953
"122","10","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","12","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","french-grand-prix",1953
"123","14","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","french-grand-prix",1953
"124","18","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","20","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","french-grand-prix",1953
"125","22","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","24","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","french-grand-prix",1953
"126","26","Lance Macklin","Great Britain","HW Motors","HWM","Alta","28","Peter Collins","Great Britain","HW Motors","HWM","Alta","french-grand-prix",1953
"127","30","Yves Giraud-Cabantous","France","HW Motors","HWM","Alta","32","Louis Chiron","Monaco","Louis Chiron","OSCA 20","Osca","french-grand-prix",1953
"128","34","Elie Bayol","France","Elie Bayol","OSCA 20","Osca","36","Stirling Moss","Great Britain","Cooper Car Co","Cooper T24","Alta","french-grand-prix",1953
"129","38","Bob Gerard","Great Britain","Bob Gerard","Cooper T23","Bristol BS","40","Ken Wharton","Great Britain","Ken Wharton","Cooper T23","Bristol BS","french-grand-prix",1953
"130","42","Prince Bira","Thailand","Connaught Engineering","Connaught A","Francis","44","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","french-grand-prix",1953
"131","46","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","48","Johnny Claes","Belgium","Ecurie Belge","Connaught A","Francis","french-grand-prix",1953
"132","50","Roy Salvadori","Great Britain","Connaught Engineering","Connaught A","Francis","2","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","french-grand-prix",1953
