"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"88","26","99","Paul Goldsmith","USA","Norman C Demler","","4:12.130","+ 6.550","+ 1.020","","","","indianapolis-500",1960
"89","27","17","Duane Carter","USA","J Ensley & S Murphy","","4:12.870","+ 7.290","+ 0.740","","","","indianapolis-500",1960
"90","28","18","Bud Tingelstad","USA","Jim Robbins","","4:12.890","+ 7.310","+ 0.020","","","","indianapolis-500",1960
"91","29","46","Eddie Russo","USA","C O Prather","","4:13.160","+ 7.580","+ 0.270","","","","indianapolis-500",1960
"92","30","76","Al Herman","USA","Joe Hunt","","4:13.810","+ 8.230","+ 0.650","","","","indianapolis-500",1960
"93","31","39","Bill Homeier","USA","Norman Hall","","4:14.870","+ 9.290","+ 1.060","","","","indianapolis-500",1960
"94","32","16","Jim McWithey","USA","Hoover Motor Express Inc","","4:16.450","+ 10.870","+ 1.580","","","","indianapolis-500",1960
"95","33","23","Dempsey Wilson","USA","J S Donaldson","","4:11.370","+ 5.790","+ 0.260","","","","indianapolis-500",1960
"96","1","2","Jack Brabham","Australia","Cooper Car Co","","3:50.000","","","","","","belgian-grand-prix",1960
"97","2","38","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","3:52.500","+ 2.500","+ 2.500","","","","belgian-grand-prix",1960
"98","3","24","Phil Hill","USA","Scuderia Ferrari","","3:53.300","+ 3.300","+ 0.800","","","","belgian-grand-prix",1960
"99","4","34","Olivier Gendebien","Belgium","BRP","","3:53.500","+ 3.500","+ 0.200","","","","belgian-grand-prix",1960
"100","5","10","Graham Hill","Great Britain","Owen Racing Organisation","","3:54.200","+ 4.200","+ 0.700","","","","belgian-grand-prix",1960
"101","6","6","Jo Bonnier","Sweden","Owen Racing Organisation","","3:54.800","+ 4.800","+ 0.600","","","","belgian-grand-prix",1960
"102","7","14","Innes Ireland","Great Britain","Team Lotus","","3:55.400","+ 5.400","+ 0.600","","","","belgian-grand-prix",1960
"103","8","36","Chris Bristow","Great Britain","BRP","","3:56.300","+ 6.300","+ 0.900","","","","belgian-grand-prix",1960
"104","9","18","Jim Clark","Great Britain","Team Lotus","","3:57.500","+ 7.500","+ 1.200","","","","belgian-grand-prix",1960
"105","10","26","Wolfgang von Trips","Germany","Scuderia Ferrari","","3:57.800","+ 7.800","+ 0.300","","","","belgian-grand-prix",1960
"106","11","8","Dan Gurney","USA","Owen Racing Organisation","","3:58.800","+ 8.800","+ 1.000","","","","belgian-grand-prix",1960
"107","12","22","Willy Mairesse","Belgium","Scuderia Ferrari","","3:58.900","+ 8.900","+ 0.100","","","","belgian-grand-prix",1960
"108","13","4","Bruce McLaren","New Zealand","Cooper Car Co","","4:00.000","+ 10.000","+ 1.100","","","","belgian-grand-prix",1960
"109","14","32","Lucien Bianchi","Belgium","Equipe Nationale Belge","","4:00.600","+ 10.600","+ 0.600","","","","belgian-grand-prix",1960
"110","15","28","Lance Reventlow","USA","","","4:09.700","+ 19.700","+ 9.100","","","","belgian-grand-prix",1960
"111","16","16","Alan Stacey","Great Britain","Team Lotus","","4:17.600","+ 27.600","+ 7.900","","","","belgian-grand-prix",1960
"112","17","30","Chuck Daigh","USA","","","4:18.500","+ 28.500","+ 0.900","","","","belgian-grand-prix",1960
"113","18","12","Stirling Moss","Great Britain","Rob Walker Racing Team","","","","","","","","belgian-grand-prix",1960
"114","19","20","Mike Taylor","Great Britain","Taylor-Crawley Racing Team","","","","","","","","belgian-grand-prix",1960
"115","1","7","Stirling Moss","Great Britain","Rob Walker Racing Team","","1:33.200","","","","","","dutch-grand-prix",1960
"116","2","11","Jack Brabham","Australia","Cooper Car Co","","1:33.400","+ 0.200","+ 0.200","","","","dutch-grand-prix",1960
"117","3","4","Innes Ireland","Great Britain","Team Lotus","","1:33.900","+ 0.700","+ 0.500","","","","dutch-grand-prix",1960
"118","4","14","Jo Bonnier","Sweden","Owen Racing Organisation","","1:34.300","+ 1.100","+ 0.400","","","","dutch-grand-prix",1960
"119","5","16","Graham Hill","Great Britain","Owen Racing Organisation","","1:35.100","+ 1.900","+ 0.800","","","","dutch-grand-prix",1960
"120","6","15","Dan Gurney","USA","Owen Racing Organisation","","1:35.200","+ 2.000","+ 0.100","","","","dutch-grand-prix",1960
"121","7","8","Chris Bristow","Great Britain","Yeoman Credit Racing Team","","1:35.300","+ 2.100","+ 0.100","","","","dutch-grand-prix",1960
"122","8","5","Alan Stacey","Great Britain","Team Lotus","","1:35.400","+ 2.200","+ 0.100","","","","dutch-grand-prix",1960
"123","9","12","Bruce McLaren","New Zealand","Cooper Car Co","","1:35.700","+ 2.500","+ 0.300","","","","dutch-grand-prix",1960
"124","10","9","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","1:36.000","+ 2.800","+ 0.300","","","","dutch-grand-prix",1960
"125","11","6","Jim Clark","Great Britain","Team Lotus","","1:36.300","+ 3.100","+ 0.300","","","","dutch-grand-prix",1960
"126","12","3","Richie Ginther","USA","Scuderia Ferrari","","1:36.300","+ 3.100","","","","","dutch-grand-prix",1960
"127","13","1","Phil Hill","USA","Scuderia Ferrari","","1:36.400","+ 3.200","+ 0.100","","","","dutch-grand-prix",1960
"128","14","10","Henry Taylor","Great Britain","BRP","","1:36.400","+ 3.200","","","","","dutch-grand-prix",1960
"129","15","2","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:36.700","+ 3.500","+ 0.300","","","","dutch-grand-prix",1960
"130","16","18","Maurice Trintignant","France","Scuderia Centro Sud","","1:38.500","+ 5.300","+ 1.800","","","","dutch-grand-prix",1960
"131","17","20","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","","1:41.700","+ 8.500","+ 3.200","","","","dutch-grand-prix",1960
"132","1","28","Stirling Moss","Great Britain","Rob Walker Racing Team","","1:36.300","","","","","","monaco-grand-prix",1960
"133","2","8","Jack Brabham","Australia","Cooper Car Co","","1:37.300","+ 1.000","+ 1.000","","","","monaco-grand-prix",1960
"134","3","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","1:37.700","+ 1.400","+ 0.400","","","","monaco-grand-prix",1960
"135","4","16","Chris Bristow","Great Britain","Yeoman Credit Racing Team","","1:37.700","+ 1.400","","","","","monaco-grand-prix",1960
"136","5","2","Jo Bonnier","Sweden","Owen Racing Organisation","","1:37.700","+ 1.400","+ 0.400","","","","monaco-grand-prix",1960
"137","6","6","Graham Hill","Great Britain","Owen Racing Organisation","","1:38.000","+ 1.700","+ 0.300","","","","monaco-grand-prix",1960
"138","7","22","Innes Ireland","Great Britain","Team Lotus","","1:38.200","+ 1.900","+ 0.200","","","","monaco-grand-prix",1960
"139","8","38","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:38.300","+ 2.000","+ 0.100","","","","monaco-grand-prix",1960
"140","9","34","Richie Ginther","USA","Scuderia Ferrari","","1:38.600","+ 2.300","+ 0.300","","","","monaco-grand-prix",1960
"141","10","36","Phil Hill","USA","Scuderia Ferrari","","1:38.600","+ 2.300","","","","","monaco-grand-prix",1960
"142","11","10","Bruce McLaren","New Zealand","Cooper Car Co","","1:38.600","+ 2.300","","","","","monaco-grand-prix",1960
"143","12","14","Roy Salvadori","Great Britain","High Efficiency Motors","","1:38.700","+ 2.400","+ 0.100","","","","monaco-grand-prix",1960
"144","13","24","Alan Stacey","Great Britain","Team Lotus","","1:38.900","+ 2.600","+ 0.200","","","","monaco-grand-prix",1960
"145","14","4","Dan Gurney","USA","Owen Racing Organisation","","1:38.900","+ 2.600","+ 0.200","","","","monaco-grand-prix",1960
"146","15","26","John Surtees","Great Britain","Team Lotus","","1:39.000","+ 2.700","+ 0.100","","","","monaco-grand-prix",1960
"147","16","44","Maurice Trintignant","France","Scuderia Centro Sud","","1:39.100","+ 2.800","+ 0.100","","","","monaco-grand-prix",1960
"148","17","12","Bruce Halford","Great Britain","Fred Tuck Cars","","1:39.600","+ 3.300","+ 0.500","","","","monaco-grand-prix",1960
"149","18","32","Cliff Allison","Great Britain","Scuderia Ferrari","","1:39.700","+ 3.400","+ 0.100","","","","monaco-grand-prix",1960
"150","19","20","Brian Naylor","Great Britain","","","1:40.300","+ 4.000","+ 0.600","","","","monaco-grand-prix",1960
"151","20","40","Masten Gregory","USA","Scuderia Centro Sud","","1:41.600","+ 5.300","+ 1.300","","","","monaco-grand-prix",1960
"152","21","46","Chuck Daigh","USA","","","1:47.000","+ 10.700","+ 5.400","","","","monaco-grand-prix",1960
"153","22","30","Giorgio Scarlatti","Italy","Scuderia Eugenio Castellotti","","1:47.400","+ 11.100","+ 0.400","","","","monaco-grand-prix",1960
"154","23","48","Lance Reventlow","USA","","","1:48.500","+ 12.200","+ 1.100","","","","monaco-grand-prix",1960
"155","24","42","Ian Burgess","Great Britain","Scuderia Centro Sud","","1:49.100","+ 12.800","+ 0.600","","","","monaco-grand-prix",1960
"156","25","30","Gino Munaron","Italy","Scuderia Eugenio Castellotti","","","","","","","","monaco-grand-prix",1960
"157","1","1","Jack Brabham","Australia","Cooper Car Co","","1:34.600","","","","","","british-grand-prix",1960
"158","2","4","Graham Hill","Great Britain","Owen Racing Organisation","","1:35.600","+ 1.000","+ 1.000","","","","british-grand-prix",1960
"159","3","2","Bruce McLaren","New Zealand","Cooper Car Co","","1:36.000","+ 1.400","+ 0.400","","","","british-grand-prix",1960
"160","4","6","Jo Bonnier","Sweden","Owen Racing Organisation","","1:36.200","+ 1.600","+ 0.200","","","","british-grand-prix",1960
"161","5","7","Innes Ireland","Great Britain","Team Lotus","","1:36.200","+ 1.600","","","","","british-grand-prix",1960
"162","6","5","Dan Gurney","USA","Owen Racing Organisation","","1:36.600","+ 2.000","+ 0.400","","","","british-grand-prix",1960
"163","7","11","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:37.000","+ 2.400","+ 0.400","","","","british-grand-prix",1960
"164","8","8","Jim Clark","Great Britain","Team Lotus","","1:37.000","+ 2.400","","","","","british-grand-prix",1960
"165","9","12","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","1:37.600","+ 3.000","+ 0.600","","","","british-grand-prix",1960
"166","10","10","Phil Hill","USA","Scuderia Ferrari","","1:37.800","+ 3.200","+ 0.200","","","","british-grand-prix",1960
"167","11","9","John Surtees","Great Britain","Team Lotus","","1:38.600","+ 4.000","+ 0.800","","","","british-grand-prix",1960
"168","12","14","Olivier Gendebien","Belgium","BRP","","1:39.200","+ 4.600","+ 0.600","","","","british-grand-prix",1960
"169","13","18","Roy Salvadori","Great Britain","David Brown Corporation","","1:39.400","+ 4.800","+ 0.200","","","","british-grand-prix",1960
"170","14","16","Masten Gregory","USA","Scuderia Centro Sud","","1:39.800","+ 5.200","+ 0.400","","","","british-grand-prix",1960
"171","15","23","Jack Fairman","Great Britain","C T Atkins","","1:39.800","+ 5.200","+ 0.400","","","","british-grand-prix",1960
"172","16","15","Henry Taylor","Great Britain","BRP","","1:40.000","+ 5.400","+ 0.200","","","","british-grand-prix",1960
"173","17","24","Lucien Bianchi","Belgium","Fred Tuck Cars","","1:40.200","+ 5.600","+ 0.200","","","","british-grand-prix",1960
"174","18","25","Brian Naylor","Great Britain","","","1:41.200","+ 6.600","+ 1.000","","","","british-grand-prix",1960
"175","19","3","Chuck Daigh","USA","Cooper Car Co","","1:42.400","+ 7.800","+ 1.200","","","","british-grand-prix",1960
"176","20","17","Ian Burgess","Great Britain","Scuderia Centro Sud","","1:42.600","+ 8.000","+ 0.200","","","","british-grand-prix",1960
"177","21","19","Maurice Trintignant","France","David Brown Corporation","","1:43.800","+ 9.200","+ 1.200","","","","british-grand-prix",1960
"178","22","22","Keith Greene","Great Britain","Gilby Engineering","","1:45.800","+ 11.200","+ 2.000","","","","british-grand-prix",1960
"179","23","26","David Piper","Great Britain","Robert Bodle Ltd","","2:05.600","+ 31.000","+ 19.800","","","","british-grand-prix",1960
"180","24","21","Gino Munaron","Italy","Scuderia Eugenio Castellotti","","","","","","","","british-grand-prix",1960
"181","25","3","Lance Reventlow","USA","Cooper Car Co","","","","","","","","british-grand-prix",1960
"182","1","16","Jack Brabham","Australia","Cooper Car Co","","2:16.800","","","","","","french-grand-prix",1960
"183","2","2","Phil Hill","USA","Scuderia Ferrari SpA SEFAC","","2:18.200","+ 1.400","+ 1.400","","","","french-grand-prix",1960
"184","3","12","Graham Hill","Great Britain","Owen Racing Organisation","","2:18.400","+ 1.600","+ 0.200","","","","french-grand-prix",1960
"185","4","20","Innes Ireland","Great Britain","Team Lotus","","2:18.500","+ 1.700","+ 0.100","","","","french-grand-prix",1960
"186","5","6","Willy Mairesse","Belgium","Scuderia Ferrari SpA SEFAC","","2:19.300","+ 2.500","+ 0.800","","","","french-grand-prix",1960
"187","6","4","Wolfgang von Trips","Germany","Scuderia Ferrari","","2:19.400","+ 2.600","+ 0.100","","","","french-grand-prix",1960
"188","7","10","Dan Gurney","USA","Owen Racing Organisation","","2:19.400","+ 2.600","","","","","french-grand-prix",1960
"189","8","22","Ron Flockhart","Great Britain","Team Lotus","","2:19.500","+ 2.700","+ 0.100","","","","french-grand-prix",1960
"190","9","18","Bruce McLaren","New Zealand","Cooper Car Co","","2:19.600","+ 2.800","+ 0.100","","","","french-grand-prix",1960
"191","10","8","Jo Bonnier","Sweden","Owen Racing Organisation","","2:19.800","+ 3.000","+ 0.200","","","","french-grand-prix",1960
"192","11","44","Olivier Gendebien","Belgium","BRP","","2:20.000","+ 3.200","+ 0.200","","","","french-grand-prix",1960
"193","12","24","Jim Clark","Great Britain","Team Lotus","","2:20.300","+ 3.500","+ 0.300","","","","french-grand-prix",1960
"194","13","46","Henry Taylor","Great Britain","BRP","","2:22.800","+ 6.000","+ 2.500","","","","french-grand-prix",1960
"195","14","14","Tony Brooks","Great Britain","Vandervell Products","","2:23.300","+ 6.500","+ 0.500","","","","french-grand-prix",1960
"196","15","36","Lucien Bianchi","Belgium","Fred Tuck Cars","","2:23.600","+ 6.800","+ 0.300","","","","french-grand-prix",1960
"197","16","48","Bruce Halford","Great Britain","Yeoman Credit Racing Team","","2:23.600","+ 6.800","+ 0.300","","","","french-grand-prix",1960
"198","17","40","Masten Gregory","USA","Scuderia Centro Sud","","2:24.300","+ 7.500","+ 0.700","","","","french-grand-prix",1960
"199","18","38","Maurice Trintignant","France","Scuderia Centro Sud","","2:24.700","+ 7.900","+ 0.400","","","","french-grand-prix",1960
"200","19","30","Gino Munaron","Italy","Scuderia Eugenio Castellotti","","2:31.300","+ 14.500","+ 6.600","","","","french-grand-prix",1960
"201","20","42","Ian Burgess","Great Britain","Scuderia Centro Sud","","2:36.700","+ 19.900","+ 5.400","","","","french-grand-prix",1960
"202","21","28","Richie Ginther","USA","","","","","","","","","french-grand-prix",1960
"203","22","34","David Piper","Great Britain","Robert Bodle Ltd","","","","","","","","french-grand-prix",1960
"204","23","26","Chuck Daigh","USA","","","","","","","","","french-grand-prix",1960
"205","1","18","John Surtees","Great Britain","Team Lotus","","2:25.560","","","","","","portuguese-grand-prix",1960
"206","2","24","Dan Gurney","USA","Owen Racing Organisation","","2:25.630","+ 0.070","+ 0.070","","","","portuguese-grand-prix",1960
"207","3","2","Jack Brabham","Australia","Cooper Car Co","","2:26.050","+ 0.490","+ 0.420","","","","portuguese-grand-prix",1960
"208","4","12","Stirling Moss","Great Britain","Rob Walker Racing Team","","2:26.190","+ 0.630","+ 0.140","","","","portuguese-grand-prix",1960
"209","5","22","Graham Hill","Great Britain","Owen Racing Organisation","","2:27.110","+ 1.550","+ 0.920","","","","portuguese-grand-prix",1960
"210","6","4","Bruce McLaren","New Zealand","Cooper Car Co","","2:27.440","+ 1.880","+ 0.330","","","","portuguese-grand-prix",1960
"211","7","16","Innes Ireland","Great Britain","Team Lotus","","2:27.520","+ 1.960","+ 0.080","","","","portuguese-grand-prix",1960
"212","8","14","Jim Clark","Great Britain","Team Lotus","","2:28.360","+ 2.800","+ 0.840","","","","portuguese-grand-prix",1960
"213","9","28","Wolfgang von Trips","Germany","Scuderia Ferrari","","2:28.400","+ 2.840","+ 0.040","","","","portuguese-grand-prix",1960
"214","10","26","Phil Hill","USA","Scuderia Ferrari","","2:28.420","+ 2.860","+ 0.020","","","","portuguese-grand-prix",1960
"215","11","30","Masten Gregory","USA","Scuderia Centro Sud","","2:29.160","+ 3.600","+ 0.740","","","","portuguese-grand-prix",1960
"216","12","6","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","2:32.120","+ 6.560","+ 2.960","","","","portuguese-grand-prix",1960
