"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"18","18","88","Eddie Sachs","USA","Peter Schmidt","","4:08.860","+ 2.240","+ 0.040","","","","indianapolis-500",1958
"19","19","44","Jud Larson","USA","John Zink","","4:10.850","+ 4.230","+ 1.990","","","","indianapolis-500",1958
"20","20","2","Jim Rathmann","USA","Lindsey Hopkins","","4:11.490","+ 4.870","+ 0.640","","","","indianapolis-500",1958
"21","21","52","Al Keller","USA","Pat Clancy","","4:11.870","+ 5.250","+ 0.380","","","","indianapolis-500",1958
"22","22","7","Johnny Thomson","USA","Racing Associates","","4:11.910","+ 5.290","+ 0.040","","","","indianapolis-500",1958
"23","23","83","Shorty Templeman","USA","Kalamazoo Sports Inc","","4:12.070","+ 5.450","+ 0.160","","","","indianapolis-500",1958
"24","24","92","Jerry Unser","USA","Roy McKay","","4:12.180","+ 5.560","+ 0.110","","","","indianapolis-500",1958
"25","25","99","George Amick","USA","Norman C Demler","","4:12.260","+ 5.640","+ 0.080","","","","indianapolis-500",1958
"26","26","61","Eddie Johnson","USA","J S Donaldson","","4:12.330","+ 5.710","+ 0.070","","","","indianapolis-500",1958
"27","27","68","Len Sutton","USA","Jim Robbins","","4:12.360","+ 5.740","+ 0.030","","","","indianapolis-500",1958
"28","28","57","Art Bisch","USA","H H Johnson","","4:12.400","+ 5.780","+ 0.040","","","","indianapolis-500",1958
"29","29","89","Chuck Weyant","USA","Harry Dunn","","4:12.440","+ 5.820","+ 0.040","","","","indianapolis-500",1958
"30","30","19","Johnnie Tolan","USA","Lysle Greenman","","4:12.970","+ 6.350","+ 0.530","","","","indianapolis-500",1958
"31","31","77","Mike Magill","USA","George Walther Jr","","4:13.030","+ 6.410","+ 0.060","","","","indianapolis-500",1958
"32","32","59","Dempsey Wilson","USA","Bob Sorenson","","4:11.270","+ 4.650","+ 0.290","","","","indianapolis-500",1958
"33","33","54","Bill Cheesbourg","USA","Novi Racing Corp","","4:12.550","+ 5.930","+ 1.280","","","","indianapolis-500",1958
"34","1","7","Stirling Moss","Great Britain","Vandervell Products","","1:39.400","","","170.601","","","british-grand-prix",1958
"35","2","20","Harry Schell","USA","Owen Racing Organisation","","1:39.800","+ 0.400","+ 0.400","169.917","","","british-grand-prix",1958
"36","3","10","Roy Salvadori","Great Britain","Cooper Car Co","","1:40.000","+ 0.600","+ 0.200","169.578","","","british-grand-prix",1958
"37","4","2","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:40.400","+ 1.000","+ 0.400","168.902","","","british-grand-prix",1958
"38","5","17","Cliff Allison","Great Britain","Team Lotus","","1:40.400","+ 1.000","","168.902","","","british-grand-prix",1958
"39","6","1","Peter Collins","Great Britain","Scuderia Ferrari","","1:40.600","+ 1.200","+ 0.200","168.566","","","british-grand-prix",1958
"40","7","9","Stuart Lewis-Evans","Great Britain","Vandervell Products","","1:41.400","+ 2.000","+ 0.800","167.236","","","british-grand-prix",1958
"41","8","19","Jean Behra","France","Owen Racing Organisation","","1:41.400","+ 2.000","","167.236","","","british-grand-prix",1958
"42","9","8","Tony Brooks","Great Britain","Vandervell Products","","1:41.600","+ 2.200","+ 0.200","166.907","","","british-grand-prix",1958
"43","10","11","Jack Brabham","Australia","Cooper Car Co","","1:42.000","+ 2.600","+ 0.400","166.252","","","british-grand-prix",1958
"44","11","3","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:42.000","+ 2.600","","166.252","","","british-grand-prix",1958
"45","12","4","Maurice Trintignant","France","R R C Walker Racing Team","","1:42.600","+ 3.200","+ 0.600","165.280","","","british-grand-prix",1958
"46","13","22","Jo Bonnier","Sweden","Jo Bonnier","","1:43.000","+ 3.600","+ 0.400","164.638","","","british-grand-prix",1958
"47","14","16","Graham Hill","Great Britain","Team Lotus","","1:43.000","+ 3.600","","164.638","","","british-grand-prix",1958
"48","15","5","Carroll Shelby","USA","Scuderia Centro Sud","","1:44.200","+ 4.800","+ 1.200","162.742","","","british-grand-prix",1958
"49","16","12","Ian Burgess","Great Britain","Cooper Car Co","","1:45.400","+ 6.000","+ 1.200","160.889","","","british-grand-prix",1958
"50","17","15","Ivor Bueb","Great Britain","B C Ecclestone","","1:51.400","+ 12.000","+ 6.000","152.224","","","british-grand-prix",1958
"51","18","6","Gerino Gerini","Italy","Scuderia Centro Sud","","1:53.000","+ 13.600","+ 1.600","150.069","","","british-grand-prix",1958
"52","19","14","Jack Fairman","Great Britain","B C Ecclestone","","1:58.800","+ 19.400","+ 5.800","142.742","","","british-grand-prix",1958
"53","20","18","Alan Stacey","Great Britain","Team Lotus","","1:58.800","+ 19.400","","142.742","","","british-grand-prix",1958
"54","","14","Bernie Ecclestone","Great Britain","B C Ecclestone","","2:38.400","+ 59.000","+ 39.600","107.056","","","british-grand-prix",1958
"55","1","3","Stuart Lewis-Evans","Great Britain","Vandervell Products","","1:37.100","","","","","","dutch-grand-prix",1958
"56","2","1","Stirling Moss","Great Britain","Vandervell Products","","1:38.000","+ 0.900","+ 0.900","","","","dutch-grand-prix",1958
"57","3","2","Tony Brooks","Great Britain","Vandervell Products","","1:38.100","+ 1.000","+ 0.100","","","","dutch-grand-prix",1958
"58","4","14","Jean Behra","France","Owen Racing Organisation","","1:38.400","+ 1.300","+ 0.300","","","","dutch-grand-prix",1958
"59","5","8","Jack Brabham","Australia","Cooper Car Co","","1:38.500","+ 1.400","+ 0.100","","","","dutch-grand-prix",1958
"60","6","5","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:39.100","+ 2.000","+ 0.600","","","","dutch-grand-prix",1958
"61","7","15","Harry Schell","USA","Owen Racing Organisation","","1:39.200","+ 2.100","+ 0.100","","","","dutch-grand-prix",1958
"62","8","9","Maurice Trintignant","France","R R C Walker Racing Team","","1:39.200","+ 2.100","","","","","dutch-grand-prix",1958
"63","9","7","Roy Salvadori","Great Britain","Cooper Car Co","","1:39.200","+ 2.100","","","","","dutch-grand-prix",1958
"64","10","4","Peter Collins","Great Britain","Scuderia Ferrari","","1:39.300","+ 2.200","+ 0.100","","","","dutch-grand-prix",1958
"65","11","17","Cliff Allison","Great Britain","Team Lotus","","1:39.400","+ 2.300","+ 0.100","","","","dutch-grand-prix",1958
"66","12","6","Luigi Musso","Italy","Scuderia Ferrari","","1:39.500","+ 2.400","+ 0.100","","","","dutch-grand-prix",1958
"67","13","16","Graham Hill","Great Britain","Team Lotus","","1:39.800","+ 2.700","+ 0.300","","","","dutch-grand-prix",1958
"68","14","12","Masten Gregory","USA","H H Gould","","1:42.000","+ 4.900","+ 2.200","","","","dutch-grand-prix",1958
"69","15","11","Jo Bonnier","Sweden","Ecurie Bonnier","","1:42.300","+ 5.200","+ 0.300","","","","dutch-grand-prix",1958
"70","16","10","Giorgio Scarlatti","Italy","Giorgio Scarlatti","","1:44.600","+ 7.500","+ 2.300","","","","dutch-grand-prix",1958
"71","17","18","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","","1:46.700","+ 9.600","+ 2.100","","","","dutch-grand-prix",1958
"72","1","4","Mike Hawthorn","Great Britain","Scuderia Ferrari","","2:21.700","","","","","","french-grand-prix",1958
"73","2","2","Luigi Musso","Italy","Scuderia Ferrari","","2:22.400","+ 0.700","+ 0.700","","","","french-grand-prix",1958
"74","3","16","Harry Schell","USA","Owen Racing Organisation","","2:23.100","+ 1.400","+ 0.700","","","","french-grand-prix",1958
"75","4","42","Peter Collins","Great Britain","Scuderia Ferrari","","2:23.300","+ 1.600","+ 0.200","","","","french-grand-prix",1958
"76","5","10","Tony Brooks","Great Britain","Vandervell Products","","2:23.400","+ 1.700","+ 0.100","","","","french-grand-prix",1958
"77","6","8","Stirling Moss","Great Britain","Vandervell Products","","2:23.700","+ 2.000","+ 0.300","","","","french-grand-prix",1958
"78","7","18","Maurice Trintignant","France","Owen Racing Organisation","","2:23.700","+ 2.000","","","","","french-grand-prix",1958
"79","8","34","Juan Manuel Fangio","Argentina","Juan Manuel Fangio","","2:24.000","+ 2.300","+ 0.300","","","","french-grand-prix",1958
"80","9","14","Jean Behra","France","Owen Racing Organisation","","2:24.200","+ 2.500","+ 0.200","","","","french-grand-prix",1958
"81","10","12","Stuart Lewis-Evans","Great Britain","Vandervell Products","","2:25.300","+ 3.600","+ 1.100","","","","french-grand-prix",1958
"82","11","40","Paco Godia","Spain","Francisco Godia Sales","","2:27.100","+ 5.400","+ 1.800","","","","french-grand-prix",1958
"83","12","22","Jack Brabham","Australia","Cooper Car Co","","2:27.300","+ 5.600","+ 0.200","","","","french-grand-prix",1958
"84","13","36","Phil Hill","USA","Ecurie Bonnier","","2:29.500","+ 7.800","+ 2.200","","","","french-grand-prix",1958
"85","14","20","Roy Salvadori","Great Britain","Cooper Car Co","","2:30.000","+ 8.300","+ 0.500","","","","french-grand-prix",1958
"86","15","32","Gerino Gerini","Italy","Scuderia Centro Sud","","2:30.700","+ 9.000","+ 0.700","","","","french-grand-prix",1958
"87","16","38","Jo Bonnier","Sweden","Giorgio Scarlatti","","2:30.900","+ 9.200","+ 0.200","","","","french-grand-prix",1958
"88","17","28","Carroll Shelby","USA","Scuderia Centro Sud","","2:32.000","+ 10.300","+ 1.100","","","","french-grand-prix",1958
"89","18","30","Troy Ruttman","USA","Scuderia Centro Sud","","2:36.000","+ 14.300","+ 4.000","","","","french-grand-prix",1958
"90","19","24","Graham Hill","Great Britain","Team Lotus","","2:40.900","+ 19.200","+ 4.900","","","","french-grand-prix",1958
"91","20","26","Cliff Allison","Great Britain","Team Lotus","","2:49.700","+ 28.000","+ 8.800","","","","french-grand-prix",1958
"92","21","6","Wolfgang von Trips","Germany","Scuderia Ferrari","","","","","","","","french-grand-prix",1958
"93","1","30","Tony Brooks","Great Britain","Vandervell Products","","1:39.800","","","113.446","","","monaco-grand-prix",1958
"94","2","6","Jean Behra","France","Owen Racing Organisation","","1:40.800","+ 1.000","+ 1.000","112.321","","","monaco-grand-prix",1958
"95","3","16","Jack Brabham","Australia","Cooper Car Co","","1:41.000","+ 1.200","+ 0.200","112.099","","","monaco-grand-prix",1958
"96","4","18","Roy Salvadori","Great Britain","Cooper Car Co","","1:41.000","+ 1.200","","112.099","","","monaco-grand-prix",1958
"97","5","20","Maurice Trintignant","France","R R C Walker Racing Team","","1:41.100","+ 1.300","+ 0.100","111.988","","","monaco-grand-prix",1958
"98","6","38","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:41.500","+ 1.700","+ 0.400","111.546","","","monaco-grand-prix",1958
"99","7","32","Stuart Lewis-Evans","Great Britain","Vandervell Products","","1:41.800","+ 2.000","+ 0.300","111.218","","","monaco-grand-prix",1958
"100","8","28","Stirling Moss","Great Britain","Vandervell Products","","1:42.300","+ 2.500","+ 0.500","110.674","","","monaco-grand-prix",1958
"101","9","36","Peter Collins","Great Britain","Scuderia Ferrari","","1:42.400","+ 2.600","+ 0.100","110.566","","","monaco-grand-prix",1958
"102","10","34","Luigi Musso","Italy","Scuderia Ferrari","","1:42.600","+ 2.800","+ 0.200","110.350","","","monaco-grand-prix",1958
"103","11","8","Harry Schell","USA","Owen Racing Organisation","","1:43.800","+ 4.000","+ 1.200","109.075","","","monaco-grand-prix",1958
"104","12","40","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:44.300","+ 4.500","+ 0.500","108.552","","","monaco-grand-prix",1958
"105","13","24","Cliff Allison","Great Britain","Team Lotus","","1:44.600","+ 4.800","+ 0.300","108.240","","","monaco-grand-prix",1958
"106","14","46","Giorgio Scarlatti","Italy","Giorgio Scarlatti","","1:44.700","+ 4.900","+ 0.100","108.137","","","monaco-grand-prix",1958
"107","15","26","Graham Hill","Great Britain","Team Lotus","","1:45.000","+ 5.200","+ 0.300","107.828","","","monaco-grand-prix",1958
"108","16","58","Jo Bonnier","Sweden","Jo Bonnier","","1:45.000","+ 5.200","","107.828","","","monaco-grand-prix",1958
"109","17","22","Ron Flockhart","Great Britain","R R C Walker Racing Team","","1:45.900","+ 6.100","+ 0.900","106.912","","","monaco-grand-prix",1958
"110","18","50","Ken Kavanagh","Australia","Ken Kavanagh","","1:49.000","+ 9.200","+ 3.100","103.871","","","monaco-grand-prix",1958
"111","19","48","Gerino Gerini","Italy","Scuderia Centro Sud","","1:49.800","+ 10.000","+ 0.800","103.114","","","monaco-grand-prix",1958
"112","20","12","Bruce Kessler","USA","B C Ecclestone","","1:50.500","+ 10.700","+ 0.700","102.461","","","monaco-grand-prix",1958
"113","21","44","Maria Teresa de Filippis","Italy","Maria Teresa de Filippis","","1:50.800","+ 11.000","+ 0.300","102.184","","","monaco-grand-prix",1958
"114","22","14","Paul Emery","Great Britain","B C Ecclestone","","1:50.800","+ 11.000","","102.184","","","monaco-grand-prix",1958
"115","23","56","Andre Testut","Monaco","Andre Testut","","1:51.400","+ 11.600","+ 0.600","101.633","","","monaco-grand-prix",1958
"116","24","52","Giulio Cabianca","Italy","Automobili OSCA","","1:52.000","+ 12.200","+ 0.600","101.089","","","monaco-grand-prix",1958
"117","25","54","Luigi Piotti","Italy","Automobili OSCA","","1:52.400","+ 12.600","+ 0.400","100.729","","","monaco-grand-prix",1958
"118","26","42","Horace Gould","Great Britain","Scuderia Centro Sud","","1:54.000","+ 14.200","+ 1.600","99.315","","","monaco-grand-prix",1958
"119","27","56","Louis Chiron","Monaco","Andre Testut","","","","","","","","monaco-grand-prix",1958
"120","28","50","Luigi Taramazzo","Italy","Ken Kavanagh","","","","","","","","monaco-grand-prix",1958
"121","29","10","Ron Flockhart","Great Britain","Owen Racing Organisation","","","","","","","","monaco-grand-prix",1958
"122","30","4","Paco Godia","Spain","Francisco Godia Sales","","","","","","","","monaco-grand-prix",1958
"123","31","12","Bernie Ecclestone","Great Britain","B C Ecclestone","","","","","","","","monaco-grand-prix",1958
"124","1","26","Stirling Moss","Great Britain","Vandervell Products","","1:40.500","","","","","","italian-grand-prix",1958
"125","2","28","Tony Brooks","Great Britain","Vandervell Products","","1:41.200","+ 0.700","+ 0.700","","","","italian-grand-prix",1958
"126","3","14","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:41.800","+ 1.300","+ 0.600","","","","italian-grand-prix",1958
"127","4","30","Stuart Lewis-Evans","Great Britain","Vandervell Products","","1:42.400","+ 1.900","+ 0.600","","","","italian-grand-prix",1958
"128","5","20","Olivier Gendebien","Belgium","Scuderia Ferrari","","1:42.500","+ 2.000","+ 0.100","","","","italian-grand-prix",1958
"129","6","16","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:42.600","+ 2.100","+ 0.100","","","","italian-grand-prix",1958
"130","7","18","Phil Hill","USA","Scuderia Ferrari","","1:42.700","+ 2.200","+ 0.100","","","","italian-grand-prix",1958
"131","8","8","Jean Behra","France","Owen Racing Organisation","","1:43.200","+ 2.700","+ 0.500","","","","italian-grand-prix",1958
"132","9","10","Harry Schell","USA","Owen Racing Organisation","","1:43.200","+ 2.700","+ 0.500","","","","italian-grand-prix",1958
"133","10","12","Jo Bonnier","Sweden","Owen Racing Organisation","","1:44.700","+ 4.200","+ 1.500","","","","italian-grand-prix",1958
"134","11","32","Masten Gregory","USA","Temple Buell","","1:44.900","+ 4.400","+ 0.200","","","","italian-grand-prix",1958
"135","12","38","Graham Hill","Great Britain","Team Lotus","","1:46.000","+ 5.500","+ 1.100","","","","italian-grand-prix",1958
"136","13","2","Maurice Trintignant","France","R R C Walker Racing Team","","1:46.400","+ 5.900","+ 0.400","","","","italian-grand-prix",1958
"137","14","6","Roy Salvadori","Great Britain","Cooper Car Co","","1:47.000","+ 6.500","+ 0.600","","","","italian-grand-prix",1958
"138","15","4","Jack Brabham","Australia","Cooper Car Co","","1:47.300","+ 6.800","+ 0.300","","","","italian-grand-prix",1958
"139","16","36","Cliff Allison","Great Britain","Team Lotus","","1:47.800","+ 7.300","+ 0.500","","","","italian-grand-prix",1958
"140","17","34","Carroll Shelby","USA","Scuderia Centro Sud","","1:48.000","+ 7.500","+ 0.200","","","","italian-grand-prix",1958
"141","18","24","Hans Herrmann","Germany","Ecurie Bonnier","","1:49.800","+ 9.300","+ 1.800","","","","italian-grand-prix",1958
"142","19","40","Gerino Gerini","Italy","Scuderia Centro Sud","","1:50.100","+ 9.600","+ 0.300","","","","italian-grand-prix",1958
"143","20","22","Giulio Cabianca","Italy","Ecurie Bonnier","","1:54.600","+ 14.100","+ 4.500","","","","italian-grand-prix",1958
"144","21","42","Maria Teresa de Filippis","Italy","Maria Teresa de Filippis","","1:55.900","+ 15.400","+ 1.300","","","","italian-grand-prix",1958
"145","1","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","","3:57.100","","","214.086","","","belgian-grand-prix",1958
"146","2","18","Luigi Musso","Italy","Scuderia Ferrari","","3:57.500","+ 0.400","+ 0.400","213.726","","","belgian-grand-prix",1958
"147","3","2","Stirling Moss","Great Britain","Vandervell Products","","3:57.600","+ 0.500","+ 0.100","213.636","","","belgian-grand-prix",1958
"148","4","14","Peter Collins","Great Britain","Scuderia Ferrari","","3:57.700","+ 0.600","+ 0.100","213.546","","","belgian-grand-prix",1958
"149","5","4","Tony Brooks","Great Britain","Vandervell Products","","3:59.100","+ 2.000","+ 1.400","212.296","","","belgian-grand-prix",1958
"150","6","20","Olivier Gendebien","Belgium","Scuderia Ferrari","","3:59.300","+ 2.200","+ 0.200","212.118","","","belgian-grand-prix",1958
"151","7","10","Harry Schell","USA","Owen Racing Organisation","","4:04.500","+ 7.400","+ 5.200","207.607","","","belgian-grand-prix",1958
"152","8","22","Jack Brabham","Australia","Cooper Car Co","","4:05.100","+ 8.000","+ 0.600","207.099","","","belgian-grand-prix",1958
"153","9","30","Masten Gregory","USA","Scuderia Centro Sud","","4:05.400","+ 8.300","+ 0.300","206.845","","","belgian-grand-prix",1958
"154","10","8","Jean Behra","France","Owen Racing Organisation","","4:06.200","+ 9.100","+ 0.800","206.173","","","belgian-grand-prix",1958
"155","11","6","Stuart Lewis-Evans","Great Britain","Vandervell Products","","4:07.200","+ 10.100","+ 1.000","205.339","","","belgian-grand-prix",1958
"156","12","40","Cliff Allison","Great Britain","Team Lotus","","4:07.700","+ 10.600","+ 0.500","204.925","","","belgian-grand-prix",1958
"157","13","24","Roy Salvadori","Great Britain","Cooper Car Co","","4:15.600","+ 18.500","+ 7.900","198.591","","","belgian-grand-prix",1958
"158","14","36","Jo Bonnier","Sweden","Jo Bonnier","","4:15.700","+ 18.600","+ 0.100","198.513","","","belgian-grand-prix",1958
"159","15","42","Graham Hill","Great Britain","Team Lotus","","4:17.900","+ 20.800","+ 2.200","196.820","","","belgian-grand-prix",1958
"160","16","28","Maurice Trintignant","France","Scuderia Centro Sud","","4:21.700","+ 24.600","+ 3.800","193.962","","","belgian-grand-prix",1958
"161","17","32","Wolfgang Seidel","Germany","Scuderia Centro Sud","","4:21.900","+ 24.800","+ 0.200","193.814","","","belgian-grand-prix",1958
"162","18","38","Paco Godia","Spain","Francisco Godia Sales","","4:25.400","+ 28.300","+ 3.500","191.258","","","belgian-grand-prix",1958
"163","19","26","Maria Teresa de Filippis","Italy","Maria Teresa de Filippis","","4:31.000","+ 33.900","+ 5.600","187.306","","","belgian-grand-prix",1958
"164","","34","Ken Kavanagh","Australia","Ken Kavanagh","","4:45.300","+ 48.200","+ 14.300","177.917","","","belgian-grand-prix",1958
"165","1","2","Juan Manuel Fangio","Argentina","Scuderia Sud Americana","","1:42.000","","","","","","argentine-grand-prix",1958
"166","2","20","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:42.600","+ 0.600","+ 0.600","","","","argentine-grand-prix",1958
"167","3","18","Peter Collins","Great Britain","Scuderia Ferrari","","1:42.600","+ 0.600","","","","","argentine-grand-prix",1958
"168","4","4","Jean Behra","France","Ken Kavanagh","","1:42.700","+ 0.700","+ 0.100","","","","argentine-grand-prix",1958
"169","5","16","Luigi Musso","Italy","Scuderia Ferrari","","1:42.900","+ 0.900","+ 0.200","","","","argentine-grand-prix",1958
"170","6","6","Carlos Menditeguy","Argentina","Scuderia Sud Americana","","1:43.700","+ 1.700","+ 0.800","","","","argentine-grand-prix",1958
"171","7","14","Stirling Moss","Great Britain","R R C Walker Racing Team","","1:44.000","+ 2.000","+ 0.300","","","","argentine-grand-prix",1958
"172","8","8","Harry Schell","USA","Ecurie Bonnier","","1:44.200","+ 2.200","+ 0.200","","","","argentine-grand-prix",1958
"173","9","10","Paco Godia","Spain","Francisco Godia Sales","","1:49.300","+ 7.300","+ 5.100","","","","argentine-grand-prix",1958
"174","10","12","Horace Gould","Great Britain","H H Gould","","1:51.700","+ 9.700","+ 2.400","","","","argentine-grand-prix",1958
"175","1","3","Mike Hawthorn","Great Britain","Scuderia Ferrari","","9:14.000","","","","","","german-grand-prix",1958
"176","2","8","Tony Brooks","Great Britain","Vandervell Products","","9:15.000","+ 1.000","+ 1.000","","","","german-grand-prix",1958
"177","3","7","Stirling Moss","Great Britain","Vandervell Products","","9:19.900","+ 5.900","+ 4.900","","","","german-grand-prix",1958
"178","4","2","Peter Collins","Great Britain","Scuderia Ferrari","","9:21.900","+ 7.900","+ 2.000","","","","german-grand-prix",1958
"179","5","4","Wolfgang von Trips","Germany","Scuderia Ferrari","","9:24.700","+ 10.700","+ 2.800","","","","german-grand-prix",1958
"180","6","10","Roy Salvadori","Great Britain","Cooper Car Co","","9:35.300","+ 21.300","+ 10.600","","","","german-grand-prix",1958
"181","7","11","Maurice Trintignant","France","R R C Walker Racing Team","","9:36.900","+ 22.900","+ 1.600","","","","german-grand-prix",1958
"182","8","6","Harry Schell","USA","Owen Racing Organisation","","9:39.600","+ 25.600","+ 2.700","","","","german-grand-prix",1958
"183","9","16","Jo Bonnier","Sweden","Scuderia Centro Sud","","9:42.700","+ 28.700","+ 3.100","","","","german-grand-prix",1958
"184","10","24","Jack Brabham","Australia","Cooper Car Co","","9:43.400","+ 29.400","+ 0.700","","","","german-grand-prix",1958
"185","11","12","Cliff Allison","Great Britain","Team Lotus","","9:44.300","+ 30.300","+ 0.900","","","","german-grand-prix",1958
"186","12","5","Jean Behra","France","Owen Racing Organisation","","9:46.800","+ 32.800","+ 2.500","","","","german-grand-prix",1958
"187","13","23","Phil Hill","USA","Scuderia Ferrari","","9:48.900","+ 34.900","+ 2.100","","","","german-grand-prix",1958
"188","14","26","Ian Burgess","Great Britain","High Efficiency Motors","","9:55.300","+ 41.300","+ 6.400","","","","german-grand-prix",1958
"189","15","20","Bruce McLaren","New Zealand","Cooper Car Co","","9:56.000","+ 42.000","+ 0.700","","","","german-grand-prix",1958
"190","16","21","Edgar Barth","Germany","Dr Ing F Porsche KG","","9:57.200","+ 43.200","+ 1.200","","","","german-grand-prix",1958
"191","17","30","Tony Marsh","Great Britain","Tony Marsh","","9:57.500","+ 43.500","+ 0.300","","","","german-grand-prix",1958
"192","18","18","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","","10:01.500","+ 47.500","+ 4.000","","","","german-grand-prix",1958
"193","19","28","Ivor Bueb","Great Britain","Ecurie Demi Litre","","10:02.600","+ 48.600","+ 1.100","","","","german-grand-prix",1958
"194","20","17","Hans Herrmann","Germany","Scuderia Centro Sud","","10:13.500","+ 59.500","+ 10.900","","","","german-grand-prix",1958
"195","21","29","Brian Naylor","Great Britain","J B Naylor","","10:17.900","+ 1:03.900","+ 4.400","","","","german-grand-prix",1958
"196","22","22","Wolfgang Seidel","Germany","R R C Walker Racing Team","","10:21.000","+ 1:07.000","+ 3.100","","","","german-grand-prix",1958
"197","23","19","Dick Gibson","Great Britain","R Gibson","","10:55.000","+ 1:41.000","+ 34.000","","","","german-grand-prix",1958
"198","24","27","Christian Goethals","Belgium","Ecurie Eperon d'Or","","11:22.900","+ 2:08.900","+ 27.900","","","","german-grand-prix",1958
"199","25","25","Graham Hill","Great Britain","Team Lotus","","18:56.000","+ 9:42.000","+ 7:33.100","","","","german-grand-prix",1958
"200","26","14","Troy Ruttman","USA","Scuderia Centro Sud","","","","","","","","german-grand-prix",1958
"201","1","2","Stirling Moss","Great Britain","Vandervell Products","","2:34.200","","","","","","portuguese-grand-prix",1958
"202","2","24","Mike Hawthorn","Great Britain","Scuderia Ferrari","","2:34.200","","","","","","portuguese-grand-prix",1958
"203","3","6","Stuart Lewis-Evans","Great Britain","Vandervell Products","","2:34.600","+ 0.400","+ 0.400","","","","portuguese-grand-prix",1958
"204","4","8","Jean Behra","France","Owen Racing Organisation","","2:34.900","+ 0.700","+ 0.300","","","","portuguese-grand-prix",1958
"205","5","4","Tony Brooks","Great Britain","Vandervell Products","","2:35.900","+ 1.700","+ 1.000","","","","portuguese-grand-prix",1958
"206","6","22","Wolfgang von Trips","Germany","Scuderia Ferrari","","2:37.000","+ 2.800","+ 1.100","","","","portuguese-grand-prix",1958
"207","7","10","Harry Schell","USA","Owen Racing Organisation","","2:37.000","+ 2.800","+ 1.100","","","","portuguese-grand-prix",1958
"208","8","14","Jack Brabham","Australia","Cooper Car Co","","2:37.400","+ 3.200","+ 0.400","","","","portuguese-grand-prix",1958
"209","9","12","Maurice Trintignant","France","R R C Walker Racing Team","","2:37.900","+ 3.700","+ 0.500","","","","portuguese-grand-prix",1958
"210","10","28","Carroll Shelby","USA","Scuderia Centro Sud","","2:40.400","+ 6.200","+ 2.500","","","","portuguese-grand-prix",1958
"211","11","16","Roy Salvadori","Great Britain","Cooper Car Co","","2:43.000","+ 8.800","+ 2.600","","","","portuguese-grand-prix",1958
"212","12","20","Graham Hill","Great Britain","Team Lotus","","2:46.200","+ 12.000","+ 3.200","","","","portuguese-grand-prix",1958
