"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"22","8","12","Pat O'Connor","USA","Chapman S Root","200","3:46:47.400","+ 5:33.150","+ 47.570","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"23","9","7","Bob Veith","USA","Bob Estes","200","3:47:31.360","+ 6:17.110","+ 43.960","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"24","10","22","Gene Hartley","USA","Joseph Massaglia Jr","200","3:48:24.370","+ 7:10.120","+ 53.010","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"25","11","19","Jack Turner","USA","Pat Clancy","200","3:49:10.320","+ 7:56.070","+ 45.950","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"26","12","10","Johnny Thomson","USA","Racing Associates","199","","1 Lap","1 Lap","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"27","13","95","Bob Christie","USA","Cars Inc","197","","3 Laps","2 Laps","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"28","14","82","Chuck Weyant","USA","Pete Salemi","196","","4 Laps","1 Lap","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"29","15","27","Tony Bettenhausen","USA","Novi Racing Corp","195","","5 Laps","1 Lap","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"30","16","18","Johnnie Parsons","USA","Chapman S Root","195","","5 Laps","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"31","17","3","Don Freeland","USA","Ansted Rotary Corp","192","","8 Laps","3 Laps","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"32","29","83","Ed Elisian","USA","Kalamazoo Sports Inc","51","","149 Laps","2 Laps","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"33","DNF","5","Jimmy Reece","USA","Fred & Richard Sommer","182","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"34","DNF","92","Don Edmunds","USA","Roy McKay","170","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"35","DNF","28","Johnnie Tolan","USA","Lysle Greenman","138","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"36","DNF","89","Al Herman","USA","Harry Dunn","111","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"37","DNF","14","Fred Agabashian","USA","George Bignotti","107","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"38","DNF","88","Eddie Sachs","USA","Peter Schmidt","105","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"39","DNF","77","Mike Magill","USA","George Walther Jr","101","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"40","DNF","43","Eddie Johnson","USA","H A Chapman","93","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"41","DNF","31","Bill Cheesbourg","USA","J S Donaldson","81","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"42","DNF","16","Al Keller","USA","Pat Clancy","75","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"43","DNF","57","Jimmy Daywalt","USA","H H Johnson","53","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"44","DNF","8","Rodger Ward","USA","Roger Wolcott","27","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"45","DNF","52","Troy Ruttman","USA","John Zink","13","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"46","DNF","55","Eddie Russo","USA","Fred Sclavi","","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"47","DNF","23","Elmer George","USA","Ernest L Ruiz","","","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"48","1","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","77","3:07:46.400","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"49","2","10","Luigi Musso","Italy","Scuderia Ferrari","77","3:08:37.200","+ 50.800","+ 50.800","","2:22.400","65","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"50","3","12","Peter Collins","Great Britain","Scuderia Ferrari","77","3:09:52.400","+ 2:06.000","+ 1:15.200","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"51","4","14","Mike Hawthorn","Great Britain","Scuderia Ferrari","76","","1 Lap","1 Lap","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"52","5","6","Harry Schell","USA","Officine Alfieri Maserati","70","","7 Laps","6 Laps","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"53","6","4","Jean Behra","France","Officine Alfieri Maserati","69","","8 Laps","1 Lap","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"54","7","24","Jack Brabham","Australia","Cooper Car Co","68","","9 Laps","1 Lap","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"55","7","24","Mike MacDowel","Great Britain","Cooper Car Co","68","","9 Laps","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"56","DNF","8","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","30","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"57","DNF","18","Stuart Lewis-Evans","Great Britain","Vandervell Products Ltd","30","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"58","DNF","20","Roy Salvadori","Great Britain","Vandervell Products Ltd","25","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"59","DNF","28","Herbert MacKay-Fraser","USA","Owen Racing Organisation","24","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"60","DNF","16","Maurice Trintignant","France","Scuderia Ferrari","23","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"61","DNF","22","Jack Brabham","Australia","Cooper Car Co","4","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"62","DNF","30","Horace Gould","Great Britain","H H Gould","4","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"63","DNF","26","Ron Flockhart","Great Britain","Owen Racing Organisation","2","","","","","","","Jul 7, 1957","Rouen-Les-Essarts","french-grand-prix",1957
"64","1","32","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","105","3:10:12.800","","","104.200","1:45.600","44","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"65","2","20","Tony Brooks","Great Britain","Vandervell Products Ltd","105","3:10:38.000","+ 25.200","+ 25.200","103.900","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"66","3","2","Masten Gregory","USA","Scuderia Centro Sud","103","","2 Laps","2 Laps","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"67","4","10","Stuart Lewis-Evans","Great Britain","Connaught Engineering","102","","3 Laps","1 Lap","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"68","5","30","Maurice Trintignant","France","Scuderia Ferrari","100","","5 Laps","2 Laps","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"69","6","14","Jack Brabham","Australia","Cooper Car Co","100","","5 Laps","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"70","DNF","24","Wolfgang von Trips/Mike Hawthorn/","Germany","Scuderia Ferrari","95","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"71","DNF","34","Giorgio Scarlatti/Harry Schell/","Italy","Officine Alfieri Maserati","64","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"72","DNF","6","Ron Flockhart","Great Britain","Owen Racing Organisation","60","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"73","DNF","36","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","51","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"74","DNF","12","Ivor Bueb","Great Britain","Connaught Engineering","47","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"75","DNF","38","Harry Schell","USA","Officine Alfieri Maserati","23","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"76","DNF","22","Horace Gould","Great Britain","H H Gould","10","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"77","DNF","26","Peter Collins","Great Britain","Scuderia Ferrari","4","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"78","DNF","18","Stirling Moss","Great Britain","Vandervell Products Ltd","4","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"79","DNF","28","Mike Hawthorn","Great Britain","Scuderia Ferrari","4","","","","","","","May 19, 1957","Circuit de Monaco","monaco-grand-prix",1957
"80","1","20","Stirling Moss","Great Britain","Vandervell Products Ltd","90","3:06:37.800","","","","1:59.200","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"81","1","20","Tony Brooks","Great Britain","Vandervell Products Ltd","90","3:06:37.800","38 Laps","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"82","2","14","Luigi Musso","Italy","Scuderia Ferrari","90","3:07:03.400","+ 25.600","+ 25.600","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"83","3","10","Mike Hawthorn","Great Britain","Scuderia Ferrari","90","3:07:20.600","+ 42.800","+ 17.200","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"84","4","16","Peter Collins","Great Britain","Scuderia Ferrari","88","","61 Laps","82 Laps","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"85","4","16","Maurice Trintignant","France","Scuderia Ferrari","88","","","5 Laps","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"86","5","36","Roy Salvadori","Great Britain","Cooper Car Co","85","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"87","6","38","Bob Gerard","Great Britain","Bob Gerard","82","","","3 Laps","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"88","8","32","Ivor Bueb","Great Britain","Gilby Engineering","71","","","11 Laps","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"89","DSQ","22","Stuart Lewis-Evans","Great Britain","Vandervell Products Ltd","82","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"90","DNF","34","Jack Brabham","Australia","R R C Walker Racing Team","74","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"91","DNF","4","Jean Behra","France","Officine Alfieri Maserati","69","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"92","DNF","12","Peter Collins","Great Britain","Scuderia Ferrari","53","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"93","DNF","18","Stirling Moss","Great Britain","Vandervell Products Ltd","51","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"94","DNF","18","Tony Brooks","Great Britain","Vandervell Products Ltd","51","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"95","DNF","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","49","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"96","DNF","24","Jack Fairman","Great Britain","Owen Racing Organisation","46","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"97","DNF","26","Les Leston","Great Britain","Owen Racing Organisation","44","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"98","DNF","6","Harry Schell","USA","Officine Alfieri Maserati","39","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"99","DNF","8","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","35","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"100","DNF","28","Jo Bonnier","Sweden","Ecurie Bonnier","18","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"101","DNS","30","Horace Gould","Great Britain","H H Gould","","","","","","","","Jul 20, 1957","Aintree Motor Racing Circuit","british-grand-prix",1957
"102","1","1","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","22","3:30:38.300","","","","9:17.400","20","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"103","2","8","Mike Hawthorn","Great Britain","Scuderia Ferrari","22","3:30:41.900","+ 3.600","+ 3.600","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"104","3","7","Peter Collins","Great Britain","Scuderia Ferrari","22","3:31:13.900","+ 35.600","+ 32.000","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"105","4","6","Luigi Musso","Italy","Scuderia Ferrari","22","3:34:15.900","+ 3:37.600","+ 3:02.000","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"106","5","10","Stirling Moss","Great Britain","Vandervell Products Ltd","22","3:35:15.500","+ 4:37.200","+ 59.600","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"107","6","2","Jean Behra","France","Officine Alfieri Maserati","22","3:35:16.800","+ 4:38.500","+ 1.300","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"108","7","3","Harry Schell","USA","Officine Alfieri Maserati","22","3:37:25.800","+ 6:47.500","+ 2:09.000","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"109","8","16","Masten Gregory","USA","Scuderia Centro Sud","21","","1 Lap","1 Lap","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"110","9","11","Tony Brooks","Great Britain","Vandervell Products Ltd","21","","1 Lap","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"111","10","4","Giorgio Scarlatti","Italy","Officine Alfieri Maserati","21","","1 Lap","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"112","11","15","Bruce Halford","Great Britain","B Halford","21","","1 Lap","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"113","DNF","17","Hans Herrmann","Germany","Scuderia Centro Sud","14","","","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"114","DNF","18","Paco Godia","Spain","Francisco Godia Sales","11","","","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"115","DNF","12","Stuart Lewis-Evans","Great Britain","Vandervell Products Ltd","10","","","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"116","DNF","19","Horace Gould","Great Britain","H H Gould","2","","","","","","","Aug 4, 1957","Nurburgring","german-grand-prix",1957
"117","1","26","Stirling Moss","Great Britain","Vandervell Products Ltd","18","2:59:22.700","","","","9:44.600","9","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"118","2","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","18","3:02:36.600","+ 3:13.900","+ 3:13.900","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"119","3","6","Harry Schell","USA","Officine Alfieri Maserati","18","3:06:09.500","+ 6:46.800","+ 3:32.900","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"120","4","14","Masten Gregory","USA","Scuderia Centro Sud","18","3:07:39.200","+ 8:16.500","+ 1:29.700","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"121","5","30","Stuart Lewis-Evans","Great Britain","Vandervell Products Ltd","17","","1 Lap","1 Lap","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"122","6","8","Giorgio Scarlatti","Italy","Officine Alfieri Maserati","17","","1 Lap","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"123","7","24","Jack Brabham","Australia","Cooper Car Co","15","","3 Laps","2 Laps","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"124","DNF","10","Paco Godia","Spain","Francisco Godia Sales","10","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"125","DNF","34","Luigi Musso","Italy","Scuderia Ferrari","9","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"126","DNF","20","Bruce Halford","Great Britain","B Halford","9","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"127","DNF","16","Jo Bonnier","Sweden","Scuderia Centro Sud","7","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"128","DNF","4","Jean Behra","France","Officine Alfieri Maserati","3","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"129","DNF","22","Roy Salvadori","Great Britain","Cooper Car Co","3","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"130","DNF","28","Tony Brooks","Great Britain","Vandervell Products Ltd","1","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"131","DNF","18","Horace Gould","Great Britain","H H Gould","","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"132","DNF","12","Luigi Piotti","Italy","L Piotti","","","","","","","","Aug 18, 1957","Pescara Circuit","pescara-grand-prix",1957
"133","1","18","Stirling Moss","Great Britain","Vandervell Products Ltd","87","2:35:03.900","","","193.563","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"134","2","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","87","2:35:45.100","+ 41.200","+ 41.200","192.710","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"135","3","36","Wolfgang von Trips","Germany","Scuderia Ferrari","85","2:36:42.800","2 Laps","2 Laps","187.125","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"136","4","26","Masten Gregory","USA","Scuderia Centro Sud","84","2:35:10.800","3 Laps","1 Lap","186.750","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"137","5","8","Giorgio Scarlatti/Harry Schell/","Italy","Officine Alfieri Maserati","84","2:36:17.600","3 Laps","+ 1:06.800","185.420","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"138","6","34","Mike Hawthorn","Great Britain","Scuderia Ferrari","83","","4 Laps","1 Lap","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"139","7","22","Tony Brooks","Great Britain","Vandervell Products Ltd","82","","5 Laps","1 Lap","","1:43.700","74","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"140","8","32","Luigi Musso","Italy","Scuderia Ferrari","82","","5 Laps","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"141","9","10","Paco Godia","Spain","Francisco Godia Sales","81","","6 Laps","1 Lap","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"142","10","14","Horace Gould","Great Britain","H H Gould","78","","9 Laps","3 Laps","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"143","11","28","Andre Simon/Ottorino Volonterio/","France","Ottorino Volonterio","72","","15 Laps","6 Laps","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"144","DNF","30","Peter Collins","Great Britain","Scuderia Ferrari","62","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"145","DNF","20","Stuart Lewis-Evans","Great Britain","Vandervell Products Ltd","49","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"146","DNF","6","Jean Behra","France","Officine Alfieri Maserati","49","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"147","DNF","16","Bruce Halford","Great Britain","B Halford","47","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"148","DNF","4","Harry Schell","USA","Officine Alfieri Maserati","34","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"149","DNF","24","Jo Bonnier","Sweden","Scuderia Centro Sud","31","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
"150","DNF","12","Luigi Piotti","Italy","L Piotti","3","","","","","","","Sep 8, 1957","Autodromo Nazionale Monza","italian-grand-prix",1957
