"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"59","6","17","Cliff Allison","Great Britain","Team Lotus","73","","2 Laps","1 Lap","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"60","7","6","Luigi Musso","Italy","Scuderia Ferrari","73","","2 Laps","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"61","8","8","Jack Brabham","Australia","Cooper Car Co","73","","2 Laps","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"62","9","9","Maurice Trintignant","France","R R C Walker Racing Team","72","","3 Laps","1 Lap","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"63","10","11","Jo Bonnier","Sweden","Ecurie Bonnier","71","","4 Laps","1 Lap","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"64","11","18","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","69","","6 Laps","2 Laps","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"65","DNF","10","Giorgio Scarlatti","Italy","Giorgio Scarlatti","52","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"66","DNF","3","Stuart Lewis-Evans","Great Britain","Vandervell Products","46","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"67","DNF","16","Graham Hill","Great Britain","Team Lotus","40","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"68","DNF","4","Peter Collins","Great Britain","Scuderia Ferrari","32","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"69","DNF","12","Masten Gregory","USA","H H Gould","16","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"70","DNF","2","Tony Brooks","Great Britain","Vandervell Products","13","","","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"71","1","4","Mike Hawthorn","Great Britain","Scuderia Ferrari","50","2:03:21.300","","","","2:24.900","45","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"72","2","8","Stirling Moss","Great Britain","Vandervell Products","50","2:03:45.900","+ 24.600","+ 24.600","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"73","3","6","Wolfgang von Trips","Germany","Scuderia Ferrari","50","2:04:21.000","+ 59.700","+ 35.100","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"74","4","34","Juan Manuel Fangio","Argentina","Juan Manuel Fangio","50","2:05:51.900","+ 2:30.600","+ 1:30.900","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"75","5","42","Peter Collins","Great Britain","Scuderia Ferrari","50","2:08:46.200","+ 5:24.900","+ 2:54.300","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"76","6","22","Jack Brabham","Australia","Cooper Car Co","49","","1 Lap","1 Lap","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"77","7","36","Phil Hill","USA","Ecurie Bonnier","49","","1 Lap","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"78","8","38","Jo Bonnier","Sweden","Giorgio Scarlatti","48","","2 Laps","1 Lap","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"79","9","32","Gerino Gerini","Italy","Scuderia Centro Sud","47","","3 Laps","1 Lap","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"80","10","30","Troy Ruttman","USA","Scuderia Centro Sud","45","","5 Laps","2 Laps","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"81","11","20","Roy Salvadori","Great Britain","Cooper Car Co","37","","13 Laps","8 Laps","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"82","DNF","16","Harry Schell","USA","Owen Racing Organisation","41","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"83","DNF","14","Jean Behra","France","Owen Racing Organisation","41","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"84","DNF","12","Stuart Lewis-Evans","Great Britain","Vandervell Products","35","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"85","DNF","12","Tony Brooks","Great Britain","Vandervell Products","35","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"86","DNF","24","Graham Hill","Great Britain","Team Lotus","33","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"87","DNF","40","Paco Godia","Spain","Francisco Godia Sales","28","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"88","DNF","18","Maurice Trintignant","France","Owen Racing Organisation","23","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"89","DNF","10","Tony Brooks","Great Britain","Vandervell Products","16","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"90","DNF","2","Luigi Musso","Italy","Scuderia Ferrari","9","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"91","DNF","28","Carroll Shelby","USA","Scuderia Centro Sud","9","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"92","DNF","26","Cliff Allison","Great Britain","Team Lotus","6","","","","","","","Jul 6, 1958","Reims-Gueux","french-grand-prix",1958
"93","1","20","Maurice Trintignant","France","R R C Walker Racing Team","100","2:52:27.900","","","109.400","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"94","2","34","Luigi Musso","Italy","Scuderia Ferrari","100","2:52:48.100","+ 20.200","+ 20.200","109.200","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"95","3","36","Peter Collins","Great Britain","Scuderia Ferrari","100","2:53:06.700","+ 38.800","+ 18.600","109.000","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"96","4","16","Jack Brabham","Australia","Cooper Car Co","97","2:54:06.800","3 Laps","3 Laps","105.100","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"97","5","8","Harry Schell","USA","Owen Racing Organisation","91","2:52:54.100","9 Laps","6 Laps","99.300","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"98","6","24","Cliff Allison","Great Britain","Team Lotus","87","2:52:44.300","13 Laps","4 Laps","95.000","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
