"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"164","13","25","Brian Naylor","Great Britain","","72","","5 Laps","","","1:42.400","33","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"165","14","16","Masten Gregory","USA","Scuderia Centro Sud","71","","6 Laps","1 Lap","","1:38.800","58","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"166","15","21","Gino Munaron","Italy","Scuderia Eugenio Castellotti","70","","7 Laps","1 Lap","","1:44.200","58","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"167","16","8","Jim Clark","Great Britain","Team Lotus","70","","7 Laps","","","1:36.000","8","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"168","17","4","Graham Hill","Great Britain","Owen Racing Organisation","71","","6 Laps","","","1:34.400","56","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"169","18","24","Lucien Bianchi","Belgium","Fred Tuck Cars","62","","15 Laps","9 Laps","","1:40.200","31","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"170","19","6","Jo Bonnier","Sweden","Owen Racing Organisation","59","","18 Laps","3 Laps","","1:36.800","3","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"171","20","3","Chuck Daigh","USA","Cooper Car Co","58","","19 Laps","1 Lap","","1:37.800","7","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"172","21","17","Ian Burgess","Great Britain","Scuderia Centro Sud","58","","19 Laps","","","1:40.000","41","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"173","22","18","Roy Salvadori","Great Britain","David Brown Corporation","46","","31 Laps","12 Laps","","1:39.800","15","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"174","23","23","Jack Fairman","Great Britain","C T Atkins","46","","31 Laps","","","1:39.600","12","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"175","24","22","Keith Greene","Great Britain","Gilby Engineering","12","","65 Laps","34 Laps","","1:45.400","7","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"176","25","3","Lance Reventlow","USA","Cooper Car Co","","","77 Laps","12 Laps","","","","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"177","1","16","Jack Brabham","Australia","Cooper Car Co","50","1:57:24.900","","","","2:17.500","25","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"178","2","44","Olivier Gendebien","Belgium","BRP","50","1:58:13.200","+ 48.300","+ 48.300","","2:20.000","17","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"179","3","18","Bruce McLaren","New Zealand","Cooper Car Co","50","1:58:16.800","+ 51.900","+ 3.600","","2:19.800","4","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"180","4","46","Henry Taylor","Great Britain","BRP","49","","1 Lap","1 Lap","","2:20.100","10","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"181","5","24","Jim Clark","Great Britain","Team Lotus","49","","1 Lap","","","2:21.900","46","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"182","6","22","Ron Flockhart","Great Britain","Team Lotus","49","","1 Lap","","","2:21.700","46","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"183","7","20","Innes Ireland","Great Britain","Team Lotus","43","","7 Laps","6 Laps","","2:19.100","22","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"184","8","48","Bruce Halford","Great Britain","Yeoman Credit Racing Team","40","","10 Laps","3 Laps","","2:25.400","22","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"185","9","40","Masten Gregory","USA","Scuderia Centro Sud","37","","13 Laps","3 Laps","","2:24.000","14","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"186","10","42","Ian Burgess","Great Britain","Scuderia Centro Sud","36","","14 Laps","1 Lap","","2:32.100","7","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"187","11","4","Wolfgang von Trips","Germany","Scuderia Ferrari","30","","20 Laps","6 Laps","","2:18.100","17","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"188","12","2","Phil Hill","USA","Scuderia Ferrari SpA SEFAC","29","","21 Laps","1 Lap","","2:17.800","23","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"189","DNF","8","Jo Bonnier","Sweden","Owen Racing Organisation","22","","","","","2:20.300","2","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"190","DNF","36","Lucien Bianchi","Belgium","Fred Tuck Cars","18","","","","","2:25.500","17","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"191","DNF","10","Dan Gurney","USA","Owen Racing Organisation","17","","","","","2:22.300","13","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"192","DNF","30","Gino Munaron","Italy","Scuderia Eugenio Castellotti","16","","","","","2:31.900","8","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"193","DNF","6","Willy Mairesse","Belgium","Scuderia Ferrari SpA SEFAC","14","","","","","2:22.400","3","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"194","DNF","14","Tony Brooks","Great Britain","Vandervell Products","7","","","","","2:22.500","2","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"195","DNF","12","Graham Hill","Great Britain","Owen Racing Organisation","","","","","","","","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"196","DNF","38","Maurice Trintignant","France","Scuderia Centro Sud","","","","","","","","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"197","DNS","28","Richie Ginther","USA","","","","","","","","","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"198","DNS","34","David Piper","Great Britain","Robert Bodle Ltd","","","","","","","","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"199","DNS","26","Chuck Daigh","USA","","","","","","","","","Jul 3, 1960","Reims-Gueux","french-grand-prix",1960
"200","1","2","Jack Brabham","Australia","Cooper Car Co","55","2:19:00.030","","","","2:28.210","23","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"201","2","4","Bruce McLaren","New Zealand","Cooper Car Co","55","2:19:58.000","+ 57.970","+ 57.970","","2:29.730","27","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"202","3","14","Jim Clark","Great Britain","Team Lotus","55","2:20:53.260","+ 1:53.230","+ 55.260","","2:29.560","40","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"203","4","28","Wolfgang von Trips","Germany","Scuderia Ferrari","55","2:20:58.840","+ 1:58.810","+ 5.580","","2:28.740","44","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"204","5","6","Tony Brooks","Great Britain","Yeoman Credit Racing Team","49","","6 Laps","6 Laps","","2:29.270","23","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"205","6","16","Innes Ireland","Great Britain","Team Lotus","48","","7 Laps","1 Lap","","2:29.490","37","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"206","7","8","Olivier Gendebien","Belgium","Yeoman Credit Racing Team","46","","9 Laps","2 Laps","","2:36.500","7","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"207","8","12","Stirling Moss","Great Britain","Rob Walker Racing Team","51","","4 Laps","","","2:27.560","29","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"208","9","32","Nicha Cabral","Portugal","Scuderia Centro Sud","38","","17 Laps","13 Laps","","2:37.990","34","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"209","10","18","John Surtees","Great Britain","Team Lotus","37","","18 Laps","1 Lap","","2:27.530","33","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"210","11","26","Phil Hill","USA","Scuderia Ferrari","30","","25 Laps","7 Laps","","2:28.190","24","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"211","12","24","Dan Gurney","USA","Owen Racing Organisation","25","","30 Laps","5 Laps","","2:28.550","5","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"212","13","30","Masten Gregory","USA","Scuderia Centro Sud","21","","34 Laps","4 Laps","","2:35.900","8","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"213","14","22","Graham Hill","Great Britain","Owen Racing Organisation","9","","46 Laps","12 Laps","","2:30.490","3","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
"214","15","20","Jo Bonnier","Sweden","Owen Racing Organisation","6","","49 Laps","3 Laps","","2:30.620","3","Aug 14, 1960","Circuito da Boavista","portuguese-grand-prix",1960
