"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"63","Maserati",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",12,"Felice Bonetto",174.6,150.103,5,1,7.2799776630117,1,2,2,0,"Other","Maserati",2,21,2,3
"64","Maserati",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",15,"Nello Pagani",186.9,140.224,7,1,7.2799776630117,0,0,0,0,"Other","Maserati",2,22,2,3
"65","Ferrari",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",4,"Luigi Villoresi",287,177.114,6,3,14.1199603185579,0,0,0,0,"Ferrari","Ferrari",5,13,6,3
"66","ERA",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",21,"Cuth Harrison",138.4,163.872,99,3,6.29998271904762,0,0,0,0,"Solo","other",4,17,4,3
"67","Simca-Gordini",1951-07-01,1951,"french-grand-prix","Reims-Gueux",17,"Aldo Gordini",210.3,140.154849421461,99,1,8.18737912037037,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,32,7,3
"68","Simca-Gordini",1951-07-01,1951,"french-grand-prix","Reims-Gueux",18,"Maurice Trintignant",210.3,140.154849421461,99,3,8.18737912037037,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,27,7,3
"69","Alta",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",14,"Stirling Moss",178.4,146.905378850012,8,1,7.2799776630117,0,0,0,0,"HW Motors","Alta",8,40,5,3
"70","Bristol",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",7,"Mike Hawthorn",116,145.357804418103,3,3,4.68375147569444,1,4,4,0,"Solo","Bristol",4,58,9,3
"71","Bristol",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",18,"Eric Brandon",120,140.512544270833,20,3,4.68375147569444,0,0,0,0,"Other","Bristol",2,53,9,3
"72","Bristol",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",22,"David Murray",122,138.209059938525,99,4,4.68375147569444,0,0,0,0,"Other","Bristol",2,10,9,3
"73","Francis",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",19,"Dennis Poore",134,169.253,12,2,6.29998271904762,0,0,3,3,"Connaught Engineering","Francis",9,59,10,3
"74","Gordini ",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",5,"Robert Manzon",140.4,142.128205128205,4,10,5.543,1,3,9,6,"Equipe Gordini","Gordini ",6,15,8,3
"75","Gordini ",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",6,"Maurice Trintignant",141.6,140.923728813559,5,7,5.543,1,2,2,0,"Equipe Gordini","Gordini ",6,27,8,3
"76","Gordini ",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",8,"Prince Bira",143,139.544055944056,99,8,5.543,0,0,0,0,"Equipe Gordini","Gordini ",6,3,8,3
"77","Veritas",1953-06-21,1953,"belgian-grand-prix","Circuit de Spa-Francorchamps",19,"Arthur Legat",341,149.067,99,2,14.1199603185579,0,0,0,0,"Solo","other",4,83,4,3
"78","Osca",1953-07-05,1953,"french-grand-prix","Reims-Gueux",15,"Elie Bayol",176.9,169.865,99,2,8.18737912037037,0,0,0,0,"Solo","other",4,66,4,3
"79","Mercedes",1954-08-01,1954,"german-grand-prix","Nurburgring",11,"Hermann Lang",613.1,133.935239622933,99,2,22.8099153924501,0,0,0,0,"Daimler Benz AG","Mercedes",10,71,11,3
"80","Lancia DS",1955-05-22,1955,"monaco-grand-prix","Circuit de Monaco",7,"Luigi Villoresi",103.7,109.18,5,27,3.16156530190058,1,2,2,0,"Other","other",2,13,4,3
"81","Lancia DS",1955-05-22,1955,"monaco-grand-prix","Circuit de Monaco",19,"Louis Chiron",107.3,105.517,6,15,3.16156530190058,0,0,0,0,"Other","other",2,6,4,3
"82","Vanwall",1955-07-16,1955,"british-grand-prix","Aintree Motor Racing Circuit",7,"Harry Schell",123.8,140.394184168013,9,23,4.828,0,0,0,0,"Other","other",2,52,4,3
"83","Vanwall",1955-07-16,1955,"british-grand-prix","Aintree Motor Racing Circuit",15,"Ken Wharton",128.4,135.364485981308,9,15,4.828,0,0,0,0,"Other","other",2,85,4,3
"84","Alfa Romeo ",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",2,"Juan Manuel Fangio",277,183.509,1,4,14.1199603185579,1,8,17,9,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,4
"85","Talbot CV",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",5,"Raymond Sommer",287,177.114,99,3,14.1199603185579,0,0,3,3,"Solo","Talbot CV",4,14,3,4
"86","Talbot CV",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",8,"Louis Rosier",293,173.488,3,4,14.1199603185579,1,4,10,6,"Other","Talbot CV",2,5,3,4
"87","Talbot CV",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",9,"Yves Giraud-Cabantous",296,171.729,99,3,14.1199603185579,0,0,0,0,"Other","Talbot CV",2,20,3,4
