"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"57","17","22","Jimmy Davies","USA","Pat Clancy","128","","10 Laps","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"58","18","62","Johnny McDowell","USA","M Pete Wales","128","","10 Laps","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"59","19","4","Walt Brown","USA","Charles Pritchard","127","","11 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"60","20","21","Spider Webb","USA","R A Cott","126","","12 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"61","21","81","Jerry Hoyt","USA","Ludson D Morris","125","","13 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"62","22","27","Walt Ader","USA","Sampson Manufacturing Co","123","","15 Laps","2 Laps","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"63","23","77","Jackie John Holmes","USA","Norm Olson","123","","15 Laps","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"64","24","76","Jim Rathmann","USA","John Lorenz","122","","16 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"65","DNF","12","Henry Banks/Fred Agabashian/","USA","Indianapolis Race Cars Inc","112","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"66","DNF","67","Bill Schindler","USA","Louis Rassey","111","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"67","DNF","24","Bayliss Levrett/Bill Cantrell/","USA","Richard L Palmer","108","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"68","DNF","28","Fred Agabashian","USA","Kurtis Kraft Inc","64","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"69","DNF","61","James Jimmy Jackson","USA","Cummins Engine Co","52","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"70","DNF","23","Sam Hanks","USA","Milt Marion","42","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"71","DNF","14","Tony Bettenhausen","USA","Lou Moore","30","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"72","DNF","45","Dick Rathmann","USA","A J Watson","25","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"73","DNF","69","Duke Dinsmore","USA","Verlin Brown","10","","","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"74","1","16","Nino Farina","Italy","Alfa Romeo SpA","42","2:02:53.700","","","149.278","2:41.600","8","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"75","2","12","Luigi Fagioli","Italy","Alfa Romeo SpA","42","2:02:54.100","+ 0.400","+ 0.400","149.270","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"76","3","10","Louis Rosier","France","Automobiles Talbot-Darracq","41","2:05:17.900","1 Lap","1 Lap","142.929","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"77","4","30","Prince Bira","Thailand","Enrico Plate","40","2:04:37.100","2 Laps","1 Lap","140.204","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"78","5","34","Felice Bonetto","Italy","Scuderia Milano","40","2:05:18.100","2 Laps","+ 41.000","139.439","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"79","6","32","Emmanuel de Graffenried","Switzerland","Enrico Plate","40","2:05:45.300","2 Laps","+ 27.200","138.936","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"80","7","2","Nello Pagani","Italy","Scuderia Achille Varzi","39","2:04:28.800","3 Laps","1 Lap","136.850","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"81","8","44","Harry Schell","USA","Ecurie Bleue","39","2:05:01.600","3 Laps","+ 32.800","136.252","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"82","9","26","Louis Chiron","Monaco","Officine Alfieri Maserati","39","2:05:16.900","3 Laps","+ 15.300","135.975","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"83","10","4","Johnny Claes","Belgium","Ecurie Belge","38","2:03:20.400","4 Laps","1 Lap","134.574","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"84","11","40","Toni Branca","Switzerland","Scuderia Achille Varzi","35","2:05:02.500","7 Laps","3 Laps","122.263","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"85","DNF","14","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","33","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"86","DNF","42","Philippe Etancelin","France","Philippe Etancelin","25","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"87","DNF","8","Eugene Martin","France","Automobiles Talbot-Darracq","19","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"88","DNF","20","Raymond Sommer","France","Scuderia Ferrari","19","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"89","DNF","22","Luigi Villoresi","Italy","Scuderia Ferrari","9","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"90","DNF","18","Alberto Ascari","Italy","Scuderia Ferrari","4","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"91","DNF","6","Yves Giraud-Cabantous","France","Automobiles Talbot-Darracq","","","","","","","","Jun 4, 1950","Circuit Bremgarten","swiss-grand-prix",1950
"92","1","10","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","35","2:47:26.000","","","177.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"93","2","12","Luigi Fagioli","Italy","Alfa Romeo SpA","35","2:47:40.000","+ 14.000","+ 14.000","177.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"94","3","14","Louis Rosier","France","Automobiles Talbot-Darracq","35","2:49:45.000","+ 2:19.000","+ 2:05.000","175.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"95","4","8","Nino Farina","Italy","Alfa Romeo SpA","35","2:51:31.000","+ 4:05.000","+ 1:46.000","173.000","4:34.100","18","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"96","5","4","Alberto Ascari","Italy","Scuderia Ferrari","34","2:49:09.000","1 Lap","1 Lap","170.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"97","6","2","Luigi Villoresi","Italy","Scuderia Ferrari","33","2:49:09.000","2 Laps","1 Lap","165.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"98","7","22","Pierre Levegh","France","Automobiles Talbot-Darracq","33","2:51:35.000","2 Laps","+ 2:26.000","163.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"99","8","24","Johnny Claes","Belgium","Ecurie Belge","32","2:52:06.000","3 Laps","1 Lap","158.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"100","9","26","Geoff Crossley","Great Britain","Geoffrey Crossley","30","2:47:56.000","5 Laps","2 Laps","151.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"101","10","30","Toni Branca","Switzerland","Antonio Branca","29","2:47:59.000","6 Laps","1 Lap","146.000","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"102","DNF","20","Eugene Chaboud","France","Automobiles Talbot-Darracq","22","","","","","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"103","DNF","6","Raymond Sommer","France","Raymond Sommer","20","","","","","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"104","DNF","16","Philippe Etancelin","France","Automobiles Talbot-Darracq","15","","","","","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"105","DNF","18","Yves Giraud-Cabantous","France","Automobiles Talbot-Darracq","2","","","","","","","Jun 18, 1950","Circuit de Spa-Francorchamps","belgian-grand-prix",1950
"106","1","6","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","64","2:57:52.800","","","168.706","2:35.600","52","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"107","2","4","Luigi Fagioli","Italy","Alfa Romeo SpA","64","2:58:18.500","+ 25.700","+ 25.700","168.301","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"108","3","14","Peter Whitehead","Great Britain","Peter Whitehead","61","2:59:30.300","3 Laps","3 Laps","159.343","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"109","4","44","Robert Manzon","France","Equipe Gordini","61","3:00:43.500","3 Laps","+ 1:13.200","158.267","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"110","5","16","Philippe Etancelin/Eugene Chaboud/","France","Automobiles Talbot-Darracq","59","3:00:09.800","5 Laps","2 Laps","153.555","2:50.400","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"111","6","26","Charles Pozzi/Louis Rosier/","France","Charles Pozzi","56","2:58:15.200","8 Laps","3 Laps","147.309","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"112","7","2","Nino Farina","Italy","Alfa Romeo SpA","55","","9 Laps","1 Lap","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"113","8","18","Yves Giraud-Cabantous","France","Automobiles Talbot-Darracq","52","2:58:19.600","12 Laps","3 Laps","136.731","2:52.300","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"114","DNF","22","Pierre Levegh","France","Automobiles Talbot-Darracq","36","","","","","2:56.600","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"115","DNF","40","Felice Bonetto","Italy","Scuderia Milano","14","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"116","DNF","42","Johnny Claes","Belgium","Ecurie Belge","11","","","","","3:01.900","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"117","DNF","20","Louis Rosier","France","Automobiles Talbot-Darracq","10","","","","","2:50.900","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"118","DNF","32","Reg Parnell","Great Britain","Scuderia Ambrosiana","9","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"119","DNF","28","Franco Rol","Italy","Officine Alfieri Maserati","6","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"120","DNF","30","Louis Chiron","Monaco","Officine Alfieri Maserati","6","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"121","DNF","34","David Hampshire","Great Britain","Scuderia Ambrosiana","5","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"122","DNF","12","Raymond Sommer","France","Automobiles Talbot-Darracq","4","","","","","2:57.300","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"123","DNF","36","Jose Froilan Gonzalez","Argentina","Scuderia Achille Varzi","3","","","","","","","Jul 2, 1950","Reims-Gueux","french-grand-prix",1950
"124","1","10","Nino Farina","Italy","Alfa Romeo SpA","80","2:51:17.400","","","176.542","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"125","2","48","Dorino Serafini/Alberto Ascari/","Italy","Scuderia Ferrari","80","2:52:36.000","+ 1:18.600","+ 1:18.600","175.202","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"126","3","36","Luigi Fagioli","Italy","Alfa Romeo SpA","80","2:52:53.000","+ 1:35.600","+ 17.000","174.915","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"127","4","58","Louis Rosier","France","Ecurie Rosier","75","2:52:33.200","5 Laps","5 Laps","164.297","2:13.100","61","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"128","5","24","Philippe Etancelin","France","Philippe Etancelin","75","2:53:00.000","5 Laps","+ 26.800","163.872","2:13.300","65","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"129","6","38","Emmanuel de Graffenried","Switzerland","Enrico Plate","72","2:51:53.200","8 Laps","3 Laps","158.336","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"130","7","8","Peter Whitehead","Great Britain","Peter Whitehead","72","2:53:02.800","8 Laps","+ 1:09.600","157.275","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"131","DNF","50","David Murray","Great Britain","Scuderia Ambrosiana","56","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"132","DNF","32","Cuth Harrison","Great Britain","Cuth Harrison","51","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"133","DNF","12","Raymond Sommer","France","Raymond Sommer","48","","","","","2:10.200","37","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"134","DNF","40","Guy Mairesse","France","Guy Mairesse","42","","","","","2:22.000","37","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"135","DNF","4","Franco Rol","Italy","Officine Alfieri Maserati","39","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"136","DNF","60","Piero Taruffi/Juan Manuel Fangio/","Italy","Alfa Romeo SpA","34","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"137","DNF","56","Pierre Levegh","France","Pierre Levegh","29","","","","","2:15.300","7","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"138","DNF","18","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","23","","","","","2:00.000","7","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
